(%) / A/S/R,2                        C                         7,3                        C                         7,4                        C                         7,2                        C                         7.5,3                        C                         7.5,4                        C                         7.5,2                        C                         8,3                        C                         8,4                        C                         8
CS,48.00,47.75,47.00,47.75,47.50,46.75,48.00,47.25,46.50
S,42.00,40.75,40.00,41.75,40.50,39.75,41.00,40.25,39.50
A,7.00,7.00,7.00,7.50,7.50,7.50,8.00,8.00,8.00
R,2.06,3.09,4.12,2.06,3.09,4.12,2.06,3.09,4.12
D (%) / A/H/S/R,2                        C                         7,3                        C                         7,4                        C                         7,2                        C                         7.5,3                        C                         7.5,4                        C                         7.5,2                        C                         8,3                        C                         8,4                        C                         8
CS,48.00,47.75,47.00,47.75,47.50,46.75,48.00,47.25,46.50
S,42.00,40.75,40.00,41.75,40.50,39.75,41.00,40.25,39.50
A,7.00,7.00,7.00,7.50,7.50,7.50,8.00,8.00,8.00
R,0.18,0.28,0.37,0.18,0.28,0.37,0.18,0.28,0.37
H,1.88,2.81,3.75,1.88,2.81,3.75,1.88,2.81,3.75
