Time point,preoperative,operation,POD 2,POD 3-10,POD 11-14,POD15 - Now
05:00,,,,800 ml (1.5%),1000 ml (1.5%),
07: 00,2000 ml (1.5%),,800 ml (1.5%),,,2000 ml (1.5%)
08: 00,,,,800 ml (1.5%),1000 ml (1.5%),
10: 00,2000 ml (1.5%),,800 ml (1.5%),800 ml (1.5%),1000 ml (1.5%),2000 ml (1.5%)
12: 00,,,,800 ml (1.5%),,
15: 00,2000 ml (1.5%),,800 ml (1.5%),800 ml (1.5%),1000 ml (1.5%),2000 ml (1.5%)
17: 00,,,,800 ml (1.5%),,
20: 00,2000 ml (2.5%),,800 ml (2.5%),800 ml (1.5%),1000 ml (1.5%),2000 ml (2.5%)
22: 00,,,,800 ml (2.5%),1000 ml (2.5%),
Total,8000                          ml,0                          ml,3200                          ml,6400                          ml,6000                          ml,8000                          ml
