"Product
Not imported","Change in net import
Mton product","Change in net import
Kton N","Change in net import
Kton P"
Oil seeds,−14.5,−810,−77
Residues food industry,−9.3,−674,−60
Total,−23.8,−1484,−137
Not exported + extra production/use,,,
Cereals,+13.3,+238,+41
Swill,+2,+40,+70
Meat and bone meal,+ 4.4,+387,+224
Grass,+1.5 – 3.0,+75,+12
Protein crops (soy),+3,+189,+18
Total,,+929 (                           542                          ),+365 (                           141                          )
