File name,Contents
EFELE.pdf,PROs and TS/MO trials maps - locations of the experimental treatments
Climate.xls,Precipitation (mm)
,Min. daily air temperature (°C)
,Max. daily air temperature (°C)
,Global radiation (J cm                         −2                        )
,Penman evapotranspiration (mm)
Lysimeter.xls,Drainage (mm)
,Cumulative drainage (mm)
,Nitrate concentration (mg NO                         3                        l                         −                          1                        )
,Nitrite concentration (mg NO                         2                        l                         −                          1                        )
,Dissolved organic carbon (mg C l                         −                          1                        )
Mineral_N_fert.xls,Mineral N application (kg N ha                         −1                        )
data_OWP.xls,Application rates (t ha                         −1                        )
,Dry matter content (g 100                         g                          −                          1                        )
,Ammonium content (g N kg                         −1                        raw product)
,Total N content (g N kg                         −1                        raw product)
,Organic N content (g N kg                         −1                        raw product)
,Organic matter content (g kg                         −1                        dry matter)
,Organic C content (g C kg                         −1                        dry matter)
