"
","Healthy Controls
(n = 34)","C9+ Symptomatic
(n = 27)","C9+ Presymptomatic
Baseline (n = 15)","C9+ Presymptomatic
6-month follow-up (n = 15)","C9+ Presymptomatic
18-month follow-up (n = 12)"
Age,51.4 ± 9.3,57.1 ± 9.8,43.4 ± 9.7                         a,43.9 ± 9.64,46.6 ± 9.89
% Male,53%,63%,20%,20%,25%
Symptom Duration (mos.),,36.6 ± 25.1,,,
Cognitive-Behavioral Domains,,,,,
MMSE,29.0 ± 1.0,26.9 ± 4.7                         b,29.1 ± 0.9,29.3 ± 0.9,29 ± 1.95
Trails B-A*(s),,111.1 ± 136.9                         e,35.9 ± 21,45.9 ± 29.9,30.2 ± 18.9
Letter Fluency (words/letter),14.3 ± 3.6 (n = 22),7.4 ± 4.1                         b                        (n = 26),12.7 ± 4.3,14.6 ± 4.3,15.1 ± 3.4
Memory (DRS raw score),,21.7 ± 4.9                         f,24.3 ± 1.0,24.2 ± 0.9,24.1 ± 1.0
Frontal Behavioral Inventory (% possible),,21.8 ± 23.7                         e,3.2 ± 4.6,2.2 ± 3.6,4.4 ± 12.0
Motor Domain,,,,,
ALSFRS-R,48,35.9 ± 7.3,47.9 ± 0.4,47.7 ± 0.6,47.3 ± 1.6
R Finger taps/10 s,62.6 ± 7.1,46.3 ± 13.4                         b                        (n = 26),58.2 ± 7.3,56.5 ± 7.8,56.7 ± 10.5
L Finger taps/10 s,58.2 ± 8.8,38.8 ± 15.5                         b                        (n = 26),56.2 ± 7.4,55.8 ± 9.7,54.4 ± 9.1
R foot taps/10 s,45.0 ± 6.4,29.0 ± 13.7                         b                        (n = 24),44.2 ± 6.1,44.1 ± 4.5,43.2 ± 4.4
L foot taps/10 s,41.9 ± 8.0,29.0 ± 13.9                         b                        (n = 24),42.4 ± 5.6,42 ± 4.8,40.6 ± 4.3
R 9-hole peg (s),18.6 ± 2.9,40.5 ± 30.9                         c                        (n = 26),19.8 ± 2.6,19.8 ± 3.1,20.6 ± 3.0
L 9-hole peg (s),19.4 ± 2.2,71.5 ± 120.7                         c                        (n = 25),20.3 ± 3.2,20.5 ± 3,19.6 ± 6.8
Gait 25ft (s),4.2 ± 0.9,7.5 ± 2.5                         d                        (n = 24),6.0 ± 0.9,6.2 ± 1.1,6.3 ± 0.8
Reading Passage (s),55.2 ± 13.8,82.9 ± 45.3                         c                        (n = 20),49.1 ± 11.5,48.2 ± 10.2,49.4 ± 6.9
