"
","Average loss
S&P 500","Average loss
DJIA","Average loss
Nikkei 225","Average loss
FTSE 100","
","DQ test (VaR)                           p                          values
S&P 500","DQ test (VaR)                           p                          values
DJIA","DQ test (VaR)                           p                          values
Nikkei 225","DQ test (VaR)                           p                          values
FTSE 100","
","DES test (ES)                           p                          values
S&P 500","DES test (ES)                           p                          values
DJIA","DES test (ES)                           p                          values
Nikkei 225","DES test (ES)                           p                          values
FTSE 100"
RW-125,1.479,1.400,1.864,1.298,,0.063,0.109,0.017,0.087,,0.032,0.056,0.008,0.082
RW-250,1.522,1.473,1.928,1.377,,0.350,0.302,0.042,0.043,,0.255,0.204,0.024,0.075
RW-500,1.633,1.550,1.998,1.464,,0.128,0.159,0.017,0.028,,0.170,0.162,0.049,0.058
GARCH-G,1.380,1.246,1.636,1.190,,0.001,0.004,0.031,0.000,,0.000,0.001,0.012,0.000
GARCH-Skt,1.246,1.128,1.565,1.105,,0.043,0.114,0.550,0.265,,0.036,0.049,0.433,0.268
HAR-Skt-RV5,1.306,1.118,2.735,1.132,,0.000,0.001,0.000,0.001,,0.000,0.001,0.000,0.001
HEAVY-N-RV5,1.233,1.164,1.609,1.137,,0.000,0.000,0.003,0.000,,0.000,0.000,0.001,0.000
HEAVY-Skt-RV5,1.117,1.047,1.507,1.065,,0.063,0.021,0.414,0.145,,0.053,0.028,0.310,0.166
AL-CAViaR-Sym,1.306,1.158,1.529,1.102,,0.004,0.095,0.255,0.296,,0.007,0.131,0.182,0.314
GAS-2F,1.244,1.260,1.670,1.217,,0.035,0.075,0.493,0.001,,0.059,0.044,0.409,0.011
GAS-1F,1.222,1.184,1.650,1.184,,0.209,0.219,0.019,0.629,,0.371,0.274,0.025,0.832
GARCH-FZ,1.241,1.147,1.521,1.088,,0.044,0.230,0.260,0.000,,0.055,0.331,0.288,0.000
Hybrid,1.242,1.140,1.533,1.180,,0.457,0.146,0.235,0.087,,0.367,0.360,0.206,0.098
GAS-2F-RV5,1.106,1.016,1.562,1.080,,0.687,0.000,0.121,0.000,,0.675,0.000,0.198,0.000
GAS-1F-RV5,1.109,1.008,1.521,1.060,,0.304,0.252,0.403,0.706,,0.242,0.283,0.328,0.610
GARCH-FZ-RV5,1.118,1.031,1.518,1.113,,0.349,0.525,0.296,0.112,,0.253,0.268,0.251,0.089
Hybrid-RV5,1.141,1.087,1.575,1.069,,0.253,0.000,0.033,0.324,,0.205,0.000,0.036,0.364
GAS-2F-RV10,1.121,1.015,1.610,1.066,,0.685,0.000,0.000,0.671,,0.812,0.000,0.005,0.720
GAS-1F-RV10,1.117,1.024,1.557,1.071,,0.239,0.450,0.327,0.538,,0.212,0.391,0.248,0.510
GARCH-FZ-RV10,1.116,1.052,1.534,1.104,,0.496,0.830,0.140,0.078,,0.391,0.692,0.137,0.064
Hybrid-RV10,1.131,1.097,1.617,1.054,,0.126,0.000,0.000,0.868,,0.129,0.000,0.001,0.836
GAS-2F-RN5,1.165,1.001,1.553,1.076,,0.028,0.000,0.006,0.499,,0.019,0.000,0.023,0.703
GAS-1F-RN5,1.109,0.995,1.518,1.063,,0.295,0.429,0.164,0.243,,0.262,0.445,0.190,0.223
GARCH-FZ-RN5,1.123,1.012,1.598,1.109,,0.250,0.000,0.659,0.058,,0.157,0.000,0.435,0.050
Hybrid-RN5,1.118,1.026,1.582,1.071,,0.319,0.000,0.286,0.286,,0.237,0.000,0.262,0.269
GAS-2F-RN10,1.133,1.005,1.565,1.065,,0.193,0.502,0.258,0.377,,0.225,0.555,0.308,0.486
GAS-1F-RN10,1.102,1.014,1.586,1.060,,0.790,0.696,0.548,0.340,,0.717,0.702,0.371,0.334
GARCH-FZ-RN10,1.123,1.021,1.620,1.113,,0.697,0.000,0.192,0.115,,0.570,0.000,0.093,0.080
Hybrid-RN10,1.118,1.031,1.549,1.062,,0.261,0.000,0.382,0.818,,0.274,0.000,0.354,0.784
