Type of plant,Plant part,UV–Vis λ                         max                        (nm),Size (nm),References
Chamomile (                         Matricaria chamomilla L                        .),Flower,230,16.5,"(                         Ogunyemi et al., 2019                        )"
Kalopanax pictus,Leaf,404,19.2,"(                         Moon et al., 2015                        )"
Sapindus mukorossi                        (raw reetha),Fruits,–,<10,"(                         Jassal et al., 2016                        )"
Malus domestica & Vitis vinifera,apple peel & stems,–,28–80 in diameter,"(                         Sanchez-Botero et al., 2017                        )"
Aegle marmelos,Fruit,355,23.7,"(                         Sivanesan et al., 2017                        )"
Brassica oleracea                        (cabbage),Leaves,340,10000–20000,"(                         Chatterjee et al., 2017                        )"
Phyllanthus amarus,–,360,40–50,"(                         Prasad and Patra, 2017                        )"
Lemon,Juice & peel,–,10–17,"(                         Hashem et al., 2018                        )"
Yucca gloriosa,Leaf,410,80,"(                         Hoseinpour et al., 2018                        )"
Gardenia resinifera,Leaves,362,10–50,"(                         Manjula et al., 2019                        )"
Yucca gloriosa,Leaf,284 & 354,35,"(                         Souri et al., 2019                        )"
Bitter Leaf (                         Vernonia amygdalina                        ),Leaf,~285 & ~320,20–22,This work
