Variable,N = 30,%
Age,65 (Range 36-84),_
Gender,,
Male,19,63
Female,11,37
ECOG,,
0,23,77
1,7,23
Treated site,,
Lymph Node,29,96
Other*,1,4
Median GTV (range),14.3 cm                         3                        (0.28 – 89.7),
Median GTV equivalent diameter (range),3 cm (0.8 – 5.54),
Prior chemotherapy,,
Yes,21,70
No,9,30
Number of metastases,,
1,25,83
2,5,17
Previous RT dose,,
45Gy/25#,22,73.3
50.4Gy/28#,4,13.3
50Gy/25#,1,3.3
66Gy/33#,1,3.3
25Gy/5#,2,6.6
Median Cumulative Dose (range),,
BED                            5,127.2 (116 – 158.4),
BED                            10,101.1 (85.5 – 127.2),
EQD2                            (                          α                           /                          β                            10),84.2 (71.2 – 106),
EQD2                            (                          α                           /                          β                            3),97.2 (94 – 120),
