Physical examination,Frequency,Percentages
Groups,,
Parotid swelling,4,5.4
Submandibular swelling,20,27.0
The medial of SCM (Sternocleidomastoid Muscle) swelling,7,9.5
The posterior cervical triangle swelling,2,2.7
Submental swelling,4,5.4
Mandibular swelling (mandibular corpus),1,1.4
Bulging in the upper pole of the tonsil and pushing in the uvula,31,41.9
Swelling in Submandibular + SCM medial + Posterior cervical triangle,1,1.4
Submandibular + Parotid swelling,1,1.4
Bulging in the upper pole of the tonsil and pushing in the uvula + Submandibular swelling,1,1.4
Submandibular + SCM medial swelling,2,2.7
