Authors (ref#),Population (n),% female,Mean age (SD),Design,Well-being outcome(s),Emotion regulation outcome(s)
Amjad and Bokharey [                         101                        ],Generalized anxiety disorder (40),45.0,NA,Cross-sectional,SWI (E),CSQ: avoidance
"Badcock, Paulik [                         102                        ]",Schizophrenia (34),29.4,37.9 (9.4),Cross-sectional,SISH (H),"RRS: rumination, ERQ: reappraisal, suppression"
"Berking, Wupperman [                         103                        ]","MDD (138), adjustment disorder (63), PTSD (5)",77.0,47.0 (9.0),Experimental: quasi-experimental,PANAS: positive affect (H),ERSQ: acceptance
"Study 1: Butler, O'Day [                         104                        ]",Generalized anxiety disorder (68),48.5,33.7 (NA),Experimental: randomized controlled trial,SWLS: satisfaction with life (H),ERQ: reappraisal
"Study 2: Butler, O'Day [                         104                        ]",Generalized anxiety disorder (100),55.0,32.7 (NA),Experimental: randomized controlled trial,SWLS: satisfaction with life (H),ERQ: reappraisal
"Chaves, Lopez-Gomez [                         105                        ]",MDD or dysthymia (96),100,51.6 (10.4),Experimental: randomized controlled trial,"PANAS: positive affect (H), PHI (H), PWBS (E), SWLS (H)","RRS: rumination, WBSI: suppression, DERS"
"Dingle, Neves [                         106                        ]",Substance abuse disorder (35),37.0,25.0 (4.48),Experimental: two-group pretest posttest design,SWLS: satisfaction with life (H),DERS
"Eisner, Eddie [                         107                        ]",Bipolar I disorder (37),72.0,41.3 (11.2),Experimental: one-group pretest posttest design,PWBS (E),DERS
"Study 2: Gámez, Chmielewski [                         109                        ]",Various mental disorders (201),73.0,41.6 (12.8),Cross-sectional,"PANAS: positive affect (H) (H), PWBS: purpose in life (E), SWLS (H)",BEAQ: avoidance
"Geschwind, Peeters [                         108                        ]",MDD (129),75.9,43.9 (9.6),Experimental: randomized controlled trial,ESM: positive affect (H),RRS: rumination
"Graser, Höfling [                         109                        ]",Chronic depression (11),36.3,46.5 (9.8),Experimental: one-group pretest posttest design,RSES (E),"ASQ: acceptance, reappraisal, suppression, RSQ: rumination"
