Nucleating agent,Thickening agent,Fraction,Major result of the study,Ref.
Al                         2                        O                         3,CMC,1 wt% Al                         2                        O                         3                        4 wt% CMC,Latent heat of fusion:232.29 J/g Supercooling degree: 2.3                        °C,[17]
AgNPs,CMC,0.6wt% AgNPs 3 wt% CMC,Latent heat of fusion:222 J/g Supercooling degree: 4.69                        °C,[18]
Cu,CMC,0.5wt% Cu 3 wt% CMC,Latent heat of fusion:231.4 J/g Supercooling degree: 1.2                        °C,[19]
SiO                         2,None,1wt% SiO                         2,Latent heat of fusion:278 J/g Supercooling degree: 7.7                        °C,[24]
Na                         2                        HPO                         4                        .12H                         2                        O (DSP),Sucrose,1.5wt% DSP 2 wt% Sucrose,Latent heat of fusion:223.1 J/g Supercooling degree: 1.54                        °C,[20]
Na                         2                        HPO                         4,CuS,1wt% Na                         2                        HPO                         4                        13 wt% CusS,Latent heat of fusion:202.4 J/g Supercooling degree                             ≃                            3.5                        °C,[21]
Na                         2                        HPO                         4                        .10H                         2                        O (TSPP),Formamide,3wt% TSPP 45 wt% Formamide,Latent heat of fusion:148.3 J/g Supercooling degree                             ≃                            2.5                        °C,[22]
Chitin nanowhiskers (CNW),None,1wt% CNW,Latent heat of fusion:241 J/g Supercooling degree                             ≃                            1.1                        °C,[23]
α                            -Fe                         2                        O                         3,CMC,0.8wt%                             α                            -Fe                         2                        O                         3                        3 wt% CMC,Latent heat of fusion:249.2 J/g Supercooling degree                             ≃                            1                        °C,[25]
