no.,Case,Condition,r                        *
1,r                          0                        <                         r                           min                          <                         r                           up                          <                         r                           max,-,r                           up
2,r                          0                        <                         r                           min                          <                         r                           max                          <                         r                           up,-,r                           max
3a,r                           min                          <                         r                          0                        <                         r                           up                          <                         r                           max,C                        (                         r                           min                          ) <                         C                        (                         r                           up                          ),r                           min
3b,r                           min                          <                         r                          0                        <                         r                           up                          <                         r                           max,C                        (                         r                           min                          ) ≥                         C                        (                         r                           up                          ),r                           up
4a,r                           min                          <                         r                          0                        <                         r                           max                          <                         r                           up,C                        (                         r                           min                          ) <                         C                        (                         r                           max                          ),r                           min
4b,r                           min                          <                         r                          0                        <                         r                           max                          <                         r                           up,C                        (                         r                           min                          ) ≥                         C                        (                         r                           max                          ),r                           max
5,r                           min                          <                         r                           up                          <                         r                          0                        <                         r                           max,-,r                           min
6,r                           min                          <                         r                           max                          <                         r                          0                        <                         r                           up,-,r                           min
7,r                           min                          <                         r                           up                          <                         r                           max                          <                         r                          0,-,r                           min
8,r                           min                          <                         r                           max                          <                         r                           up                          <                         r                          0,-,r                           min
