Characteristics,Female,Male
Patients gender (n = 349),43% (1                        5                        0),57% (1                        9                        9)
Age,58 (IQR 43 to 72),59 (IQR 45 to 71)
ASA I,21% (32),21% (42)
ASA II,39% (58),40% (80)
ASA III,35% (52),32% (63)
ASA IV,5% (8),7% (14)
General,26% (39),17% (34)
Gynaecological,11% (18),0% (0)
Neurosurgical,8% (12),12% (24)
Oral & maxillofacial,1% (2),5% (10)
Orthopaedics,25% (37),25% (50)
Plastic,11% (18),10% (20)
Thoracic,3%(6),4% (8)
Urological,11% (18),26% (53)
