Identification,13                        C/                         12                        C,2SE,2SE (‰),Difference (‰)
alanine standard A1,3.5898E-02,7.3249E-05,2.0,–
alanine solution A2,3.5458E-02,8.3031E-05,2.3,12.4
3:1 alanine-to-amide,3.5850E-02,1.0414E-04,2.9,1.3
1:1 alanine-to-amide,3.5699E-02,8.5591E-05,2.4,5.6
1:3 alanine-to-amide,3.4336E-02,9.1957E-05,2.7,45.5
alanine standard G1,3.7652E-02,5.3898E-05,1.4,–
alanine solution G2,3.7558E-02,3.5407E-05,0.9,2.5
3:1 alanine-to-glutamate,3.7265E-02,3.8635E-05,1.0,10.4
11142017_xylene,7.4756E-02,1.7860E-04,4.8,–
11142017_xylene + decane,7.3604E-02,1.3414E-04,3.6,15.7
11152017_xylene,7.5047E-02,1.6577E-04,4.4,–
11152017_xylene + decane,7.4137E-02,1.1776E-04,3.2,12.3
01112018_xylene,7.5397E-02,1.4626E-04,3.9,–
01112018_xylene + decane,7.4427E-02,1.0563E-04,2.8,13.0
01112018_60 K_xylene,7.6409E-02,1.0372E-04,2.7,–
01112018_60 K_xylene + decane,7.6585E-02,7.6870E-05,2.0,2.3
