"Size class
Size class","Average fish abundance (n plot                         −1                        )
Bare sand","Average fish abundance (n plot                         −1                        )
Reef ball","Average fish abundance (n plot                         −1                        )
Rock pile","Average fish abundance (n plot                         −1                        )
Layered cake"
0–5,0.1 ± 0.3,3.8 ± 3.1,8.1 ± 8.5,17.7 ± 8.9
5–10,1.6 ± 3.3,2.7 ± 4.9,1.3 ± 2.4,2.4 ± 2.4
10–15,0.2 ± 0.4,0.9 ± 1.4,2.5 ± 2.5,5 ± 3.7
15–20,0.1 ± 0.4,1.1 ± 1.4,2.8 ± 3,8.9 ± 8.6
20–25,0.1 ± 0.4,0.7 ± 1,0.7 ± 0.9,2.5 ± 3.9
25–30,0 ± 0,0.3 ± 0.4,0.1 ± 0.4,0.1 ± 0.3
30–35,0 ± 0,0 ± 0.2,0 ± 0.2,0.1 ± 0.3
35–40,0 ± 0,0.1 ± 0.3,0 ± 0,0 ± 0
40+,0 ± 0,0 ± 0,0.1 ± 0.2,0.1 ± 0.3
Unknown                           a,1 ± 1.5,0 ± 0,0 ± 0,0 ± 0
Total,3.1 ± 3.7,9.6 ± 7,15.5 ± 8.3,36.7 ± 14.3
