,Avg,Stdev,Min,Max,Median
1MR,0.217,0.058,0.095,0.410,0.219
2AV,0.216,0.062,0.087,0.368,0.216
3FL,0.174,0.088,0.038,0.434,0.161
4WT,0.247,0.088,0.069,0.453,0.239
5VR,0.219,0.086,0.060,0.410,0.218
6LS,0.185,0.079,0.039,0.378,0.186
7DD,0.205,0.082,0.064,0.396,0.203
8NC,0.187,0.072,0.062,0.372,0.180
9MS,0.200,0.052,0.105,0.332,0.197
10PL,0.204,0.057,0.094,0.347,0.206
11DE,0.186,0.071,0.055,0.346,0.186
12AC,0.201,0.054,0.088,0.333,0.206
13MC,0.180,0.056,0.072,0.333,0.178
14OL,0.199,0.055,0.092,0.331,0.197
15IR,0.198,0.047,0.100,0.342,0.196
16ME,0.190,0.058,0.077,0.350,0.189
17DL,0.191,0.048,0.099,0.373,0.183
18ST,0.187,0.046,0.097,0.326,0.183
19RH,0.203,0.056,0.090,0.353,0.207
20FS,0.204,0.053,0.109,0.376,0.204
21KN,0.200,0.049,0.095,0.314,0.200
