Constitutional types,Clinical imaging examination,Laboratory indicators
Yin-yang harmony (平和质),ECG (electrocardiogram),Blood routine
Qi asthenia (气虚质),Heart ultrasound,Urine routine
Yang asthenia (阳虚质),Head magnetic resonance,Stool routine
Yin asthenia (阴虚质),Chest CT (computed tomography) scan,Liver Function
Phlegm-dampness (痰湿质),"Abdominal ultrasound exam (liver, gallbladder, spleen, and pancreas)",Renal function
Blood stasis (血瘀质),"Renal ultrasound (kidneys, ureters, and bladder)",Blood Lipid
Dampness-heat (湿热质),Thyroid ultrasound,B-type natriuretic peptide
Qi stagnation (气郁质),"Color doppler ultrasonography of the abdominal aorta (portal vein, the caudal vena cava, and their main abdominal branches and tributaries)",C-reactive protein
Special temperament (特禀质),Venous ultrasound (lower extremity arteriovenous),Erythrocyte sedimentation rate
,Carotid ultrasound,Blood electrolyte
,,Carcinoembryonic antigen
,,Thyroid function
,,25 hydroxyvitamin D
,,β            -CTX
,,Serum osteocalcin
,,C-terminal (P1CP) propeptides of Type I collagen
,,Thyroid peroxidase antibody
,,Bone-derived alkaline phosphatase
,,Glycated haemoglobin (HbA1c)
,,Procalcitonin
