Variables,ln                              y,ln                              k,ln                              r                              e,ln                              c                              e,ln                              c,ln                              g                              c,ln                              t                              o
ln                              y,–,5.2819***,2.5639***,2.5597***,2.0917***,2.1939***,3.4612***
,,(16.5256),(5.7715),(5.7546),(3.9031),(4.3074),(9.3217)
ln                              k,3.9679***,–,3.0968***,2.6353**,2.6030***,3.4411***,3.5736***
,(11.3267),,(7.8799),(6.0540),(5.9261),(9.2421),(9.7664)
ln                              r                              e,3.3193***,1.9242***,–,2.8134***,2.1480***,2.4019***,2.8712***
,(8.7603),(3.2402),,(6.7586),(4.1260),(5.1306),(6.9872)
ln                              c                              e,3.0972***,2.8460***,1.7868***,–,2.3548***,2.0451***,3.1148***
,(7.8817),(6.8878),(2.6966),,(4.9439),(3.7188),(7.9512)
ln                              c,3.8874***,3.0599***,2.1021***,2.7890***,–,3.5725***,3.0145***
,(11.0083),(7.7340),(3.9441),(6.6619),,(9.7623),(7.5542)
ln                              g                              c,8.0007***,5.1509***,2.4849***,4.4875***,3.3235***,–,4.3935***
,(27.2834),(16.0076),(5.4589),(13.3824),(8.7768),,(13.0108)
ln                              t                              o,2.8268***,1.9761***,2.1450***,2.6831***,2.4082***,2.6351***,–
,(6.8118),(3.4455),(4.1141),(6.2430),(5.1553),(2.6351),
