"A                                ^                                    i                                  →                                  ,                                σ                                ,                                j","A                                      ^                                          i                                        →                                        ,                                      σ                                      ,                                      j                                      ;                                      X                                      ^                                          i                                        →                                        ,                                      σ                                        Ï                                      ¯                                      =                              0",Number of equation
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                1",x                                2                                  a                                2                                +                                x                                6                                  a                                6                                =                              0,(18.1)
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                2",x                                2                                  b                                2                                +                                x                                3                                  b                                3                                +                                x                                6                                  b                                6                                =                              0,(18.2)
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                3",x                                3                                  d                                3                                +                                x                                4                                  d                                4                                +                                x                                6                                  d                                6                                =                              0,(18.3)
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                4",x                                4                                  f                                4                                +                                x                                5                                  f                                5                                +                                x                                6                                  f                                6                                =                              0,(18.4)
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                5",x                                7                                  g                                7                                +                                x                                4                                  g                                4                                =                              0,(18.5)
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                6",x                                8                                  h                                8                                +                                x                                7                                  h                                7                                =                              0,(18.6)
"A                                ^                                    i                                  →                                  ,                                σ                                ,                                7",y                                1                                  k                                9                                +                                x                                8                                  k                                8                                =                              0,(18.7)
"A                                ^                                    i                                  →                                  +                                  a                                  →                                  σ                                ,                                1",y                                1                                  a                                1                                +                                y                                2                                  a                                2                                +                                y                                6                                  a                                6                                =                              0,(18.8)
"A                                ^                                    i                                  →                                  +                                  a                                  →                                  ,                                σ                                ,                                2",y                                2                                  b                                2                                +                                y                                3                                  b                                3                                +                                y                                6                                  b                                6                                =                              0,(18.9)
"A                                ^                                    i                                  →                                  +                                  a                                  →                                  ,                                σ                                ,                                3",y                                3                                  d                                3                                +                                y                                6                                  d                                6                                =                              0,(18.10)
"A                                ^                                    i                                  →                                  +                                  a                                  →                                  ,                                σ                                ,                                4",y                                5                                  f                                5                                +                                y                                6                                  f                                6                                =                              0,(18.11)
