,Iron sucrose                        (IS),Sodium ferric gluconate (SFG),Low molecular weight iron dextran (ID),Ferric carboxymaltose (FCM),Ferric derisomaltose                        (FDI),Ferrumoxytol                        (FMX)
Brand name,"Venofer®, Fermed®",Ferrlecit®,"Cosmofer® (Europe), INFeD® (US)","Ferinject® (Europe), Injectafer ® (US)","Monofer® (Europe), Monoferric (US)","Rienso® (Europe), Feraheme® (US)"
Maximal single dose,200 mg,125 mg,20 mg/kg,1000 mg (EMA)                        750 mg (FDA),20 mg/kg (EMA)                        1000 mg (FDA),510 mg
Maximal weekly dose,500 mg,Not stated (FDA),"not stated (EMA, FDA)",1000 mg (EMA)                        750 mg (FDA),20 mg/kg (EMA)                        not stated (FDA),"1020 mg (EMA, FDA)"
Minimum administration time for infusion of max. dose (minutes),30 min (EMA)                        15 min (FDA),60 min (FDA),"15 min, then 100 mg/15 min (EMA)","15 min (EMA, FDA)","15 min (<1000 mg), 30 min (>1000 mg) (EMA)                        20 min (FDA)",15 min (EMA)
Minimum administration time for injection of max. dose,10 min (EMA)                        2-5 min (FDA),10 min (FDA),~20 min (EMA)                        >60 min (FDA),"15 min (EMA)                        7,5 min (FDA)",250 mg/min (max. 500 mg) (EMA),15 min (FDA)
"Carbohydrate ligand                          (                          Bhandari et al., 2018                          )",sucrose,gluconate,dextran,carboxymaltose,derisomaltose,polyglucose sorbitol carboxymethylether
"Relative stability of iron carbohydrate complex                          (                          Bhandari et al., 2018                          )",medium,Low,high,high,High,high
"Labile iron potential(                          Jahn et al., 2011                        ;                         Neiser et al., 2015                          )",3.5%,3.3%,2%,0.6%,1%,0.8%
"Molecular weight                          (                          Bhandari et al., 2018                          )",43 kDa,"37,5 kDa",103 kDa,150 kDa,150 kDa,185 kDa
"Plasma half-life                          (                          Bhandari et al., 2018                          )",6 h,~1 h,5–20 h,7–12 h,20 h,~15 h
