Article,P3 amp,P3 peak lat,P3 onset lat,N2 amp,N2 peak lat,N2 onset lat,SSRT,Stim,Resp,N,Comments
Liottie et al. (2005),n.s.,,,,,,int,V,M,10/10,ADHD/HC
Johnstone et al. (2007),n.s.,n.s.,,n.s.,n.s.,,mean,VA,M,24,
Van Gaal et al. (2009),.22,,,.53,,,mean,V,M,15,
Anguera et al. (2012),.30,.60,,.30,.10,,n.a.,V,M,17,Older adults
Hughes et al. (2012),.01/−.47,.14/−.35,,,,,int,VA,M,10/13,SZ/HC
Senderecka et al. (2012),−.51,.29,,−.32,.47,,mean,VA,M,40,Pooled across ADHD/HC
"Jones, et al. (2013)",−.61/.43,,,,,,int,VA,M,16,SSD 150/SSD 150-250
Huster et al. (2014),.61,,,,,,mean,V,M,13,Exploratory analysis; highest correlation
Logemann et al. (2014),−.65,,,–,,,int,V,M,16,N2 excluded (atypical topography)
Wessel et al. (2015),,.3,.6,,,,mean,V/V/VA/V,O/M/M/M,12/10/14/26,Pooled across four studies
Senderecka et al. (2016),−.31,.40,,−.52,.62,,int,V,M,33,
Wessel et al. (2016),,,.36,,,,n.a.,V,M,22,
Raud et al. (2017),−.42,,−.28,.16,,−.02,mean,V,M,30,
Dutra et al. (2018),,,.52,,,,int,V,M,17,
Wessel et al. (2018),,,.7,,,,int,V,M,18,
Hoptman et al. (2018),−.41,,,,,,med,V,M,42,Pooled across SZ/HC
