PCDD/Fs,REP PC                         5                        (M),Ratio,REP PC                         5                        (M),PBDD/Fs
"2,3,7,8-TCDD",1.0,2,0.63,"2,3,7,8-TBDD"
"1,2,3,7,8-PeCDD",0.97,1,1.3,"1,2,3,7,8-PeBDD"
"1,2,3,4,6,7,8-HpCDD",0.37,69,0.0054,"1,2,3,4,6,7,8-HpBDD"
OCDD,nc,-,nc,OBDD
"2,3,7,8-TCDF",0.12,0.2,0.50,"2,3,7,8-TBDF"
"2,3,4,7,8-PeCDF",0.96,1,1.2,"2,3,4,7,8-PeBDF"
"1,2,3,7,8-PeCDF",0.64,4,0.17,"1,2,3,7,8-PeBDF"
"1,2,3,4,7,8-HxCDF",0.80,4,0.20,"1,2,3,4,7,8-HxBDF"
"1,2,3,4,6,7,8-HpCDF",0.011,3,0.0039,"1,2,3,4,6,7,8-HpBDF"
OCDF,0.0012,1,0.0012,OBDF
