"
Compound","DRhuman CALUX
PC                         5                        (M)","DRhuman CALUX
PC                         50                        (M)","DRhuman CALUX
EC                         50                        (M)","DRhuman CALUX
%TCDD                         max","DR CALUX
PC                         5                        (M)","DR CALUX
PC                         50                        (M)","DR CALUX
EC                         50                        (M)","DR CALUX
%TCDD                         max"
"2,3,7,8-TCDD",2.8E-11,6.0E-10,6.0E-10,100,5.2E-13,6.2E-12,6.2E-12,100
"1,2,3,7,8-PeCDD",2.9E-11,3.8E-10,4.4E-10,113,9.5E-13,2.1E-11,1.22E-11,81
"1,2,3,4,7,8-HxCDD",2.0E-11,4.2E-10,2.9E-10,100,1.9E-12,3.3E-11,2.69E-11,76
"1,2,3,4,6,7,8-HpCDD",7.6E-11,1.1E-09,1.5E-09,115,3.6E-12,1.0E-10,4.92E-11,80
OCDD,nd,nd,nd,4,2.1E-10,6.5E-09,4.06E-09,77
"2,3,4,8-TCDF",2.4E-10,3.0E-09,3.6E-09,111,1.4E-12,7.4E-11,2.30E-11,74
"2,3,4,7,8-PeCDF",3.0E-11,1.4E-09,5.4E-10,97,1.5E-12,3.8E-11,1.42E-11,79
"1,2,3,7,8-PeCDF",4.5E-11,6.7E-10,6.9E-10,103,1.5E-12,9.6E-11,2.75E-11,71
"1,2,3,4,7,8-HxCDF",3.5E-11,3.9E-10,4.8E-10,115,1.6E-12,1.2E-10,3.39E-11,69
"1,2,3,4,6,7,8-HpCDF",2.6E-09,2.0E-08,2.1E-08,102,9.1E-12,4.9E-10,2.55E-10,81
OCDF,2.4E-08,9.6E-08,nd,62,2.6E-11,5.4E-10,5.24E-10,100
"2,3,7,8-TBDD",4.5E-11,5.7E-10,5.5E-10,96,1.1E-12,2.9E-11,2.02E-11,96
"1,2,3,7,8-PeBDD",2.2E-11,2.7E-10,2.7E-10,128,1.4E-12,3.3E-11,2.43E-11,90
"1,2,3,4,6,7,8-HpBDD",5.3E-09,3.0E-08,2.5E-08,87,3.5E-11,2.3E-09,9.43E-10,104
OBDD,nd,nd,nd,4,2.2E-09,9.8E-08,nd,86
"2,3,7,8-TBDF",5.7E-11,8.4E-10,1.0E-09,110,6.4E-13,1.6E-11,7.09E-12,103
"2,3,4,7,8-PeBDF",2.4E-11,3.0E-10,4.0E-10,106,1.5E-12,4.9E-11,2.63E-11,71
"1,2,3,7,8-PeBDF",1.7E-10,1.8E-09,2.6E-09,129,8.1E-12,1.7E-10,7.13E-11,99
"1,2,3,4,7,8-HxBDF",1.4E-10,1.4E-09,1.8E-09,107,1.3E-11,4.9E-10,3.69E-10,107
"1,2,3,4,6,7,8-HpBDF",7.3E-09,7.3E-08,2.9E-08,71,9.8E-11,2.0E-09,1.97E-09,88
OBDF,2.4E-08,nd,nd,45,4.7E-10,7.7E-09,7.29E-09,97
