Month,Cotton rope,Jute rope,Sisal rope
1,None,None,None
2,None,Chlorophyta,Chlorophyta
3,None,Chlorophyta,Chlorophyta
4,Chlorophyta,Not available,Not available
5,Chlorophyta            Ochrophyta            Rhodophyta,Not available,Not available
6,Chlorophyta            Ochrophyta,Not available,Not available
7,Chlorophyta            Ochrophyta            Balanus,Not available,Not available
8,Chlorophyta            Ochrophyta            Balanus            Mytilus edulis,Not available,Not available
9,Chlorophyta            Ochrophyta            Balanus            Mytilus edulis,Not available,Not available
10,Chlorophyta            Ochrophyta            Balanus            Mytilus edulis,Not available,Not available
