"Functional            attribute:
Functional            attribute:
Model name","A √(Chlorophyll             a            )
Gaussian mixed model
Null model","A √(Chlorophyll             a            )
Gaussian mixed model
Full model","B √(Bacteriochlorophyll             a            )
Gaussian mixed model
Null model","B √(Bacteriochlorophyll             a            )
Gaussian mixed model
Full model","C Microbial decomposition
Gaussian mixed model
Null model","C Microbial decomposition
Gaussian mixed model
Full model","D Macroinvertebrate decomposition
Gaussian mixed model
Null model","D Macroinvertebrate decomposition
Gaussian mixed model
Full model"
Fixed effects,b            [95 % CI],b            [95 % CI],b            [95 % CI],b            [95 % CI],b            [95 % CI],b            [95 % CI],b            [95 % CI],b            [95 % CI]
Intercept,"0.47 [0.25, 0.70]","0.47 [0.35, 0.60]","0.07 [0.04, 0.10]","0.07 [0.05, 0.09]","0.43 [0.34, 0.51]","0.43 [0.36, 0.50]","0.01 [-0.02, 0.05]","0.01 [-0.02, 0.05]"
PC1,-,"0.14 [0.09, 0.19]",-,"0.01 [0.01, 0.02]",-,"0.04 [0.01, 0.06]",-,"0.00 [-0.01, 0.02]"
Random effects,VC,VC,VC,VC,VC,VC,VC,VC
Stream (Intercept),0.119,0.025,0.001,0.000,0.019,0.012,0.003,0.002
Residuals,0.091,0.076,0.003,0.002,0.009,0.008,0.004,0.004
AIC             C,43.36,28.13,-106.62,-115.08,-52.18,-56.34,-91.14,-89.13
R              2              (m),-,0.521,-,0.318,-,0.299,-,0.019
R              2              (c),0.568,0.639,0.317,0.412,0.692,0.719,0.363,0.366
