Source,Number of Patients (LDJ performed),Mean length of stay (days),Anastomotic leak,Mortality,Complication (number of cases),Vomiting/Nausea in postoperative follow-up (vomit/nausea)
Kirby et al. [                         1                        ],4 (3),7.5,none,none,gastroparesis (1),1/0
,,,,,ulcer bleeding at anastomosis (1),
Valiathan et al. [                         11                        ],6 (3),N.A.,none,none,none,2/0
Chang et al. [                         9                        ],18 (16),6.7,none,none,prolonged ileus (2),1/4
,,,,,intolerance to oral intake (2),
,,,,,closed loop obstruction (1),
Jain et al. [                         10                        ],22 (22),7.27,none,none,delayed gastric emptying (4),0/0
,,,,,ileus (1),
Pator Peinado et al. [                         12                        ],4 (4),4.5,none,none,melena with mild anemia (1),1/0
Kim et al. [                         13                        ],2 (2),5.5,none,none,none,0/0
