"

Residual1","Prediction model
Industry FE
","Prediction model
Firm FE
","Second stage model
Industry FE
0.016***","Second stage model
Industry FE
","Second stage model
Firm FE
0.027***","Second stage model
Firm FE
"
,,,(3.124),,(2.729),
Residual2,,,,0.027***,,0.027***
,,,,(2.704),,(2.739)
LogEmployees,0.219***,0.273***,,,,
,(10.920),(6.693),,,,
RepatCost,−4.058**,−3.412***,,,,
,(−2.253),(−2.878),,,,
LogLoanSize,−0.001,−0.003,−0.042***,−0.039***,−0.032***,−0.032***
,(−0.083),(−0.375),(−7.705),(−6.935),(−5.940),(−5.949)
LogMaturity,0.006,−0.011,−0.046***,−0.037***,−0.018,−0.019*
,(0.273),(−0.830),(−4.071),(−3.094),(−1.608),(−1.648)
fCovenants,0.025*,0.013,0.033***,0.039***,0.048***,0.048***
,(1.697),(1.025),(5.448),(6.118),(6.046),(6.006)
Capex,−0.004,0.002,0.139***,0.142***,0.126***,0.126***
,(−0.110),(0.079),(10.526),(10.299),(7.474),(7.485)
PP_Indicator,0.043,0.003,−0.117***,−0.115***,−0.085***,−0.086***
,(1.484),(0.098),(−10.553),(−9.996),(−7.163),(−7.252)
PP_Rating,0.037,0.070*,−0.121***,−0.118***,−0.088***,−0.087***
,(0.922),(1.942),(−6.487),(−6.240),(−4.106),(−4.065)
SecuredLoan,0.057*,0.045*,0.344***,0.332***,0.237***,0.237***
,(1.842),(1.851),(23.442),(21.855),(12.942),(12.928)
Sweeps,0.020,0.003,0.184***,0.188***,0.192***,0.192***
,(0.683),(0.112),(14.556),(14.020),(12.319),(12.290)
DividendR,−0.023,−0.000,0.026**,0.023*,−0.011,−0.011
,(−0.743),(−0.023),(2.005),(1.738),(−0.752),(−0.711)
TakeoverRecap,−0.040,0.010,0.082***,0.080***,0.103***,0.104***
,(−0.980),(0.360),(5.284),(5.031),(5.703),(5.776)
ShipAircraft,−0.620***,0.408*,−0.325***,−0.317***,−0.153,−0.126
,(−3.860),(1.783),(−3.984),(−3.823),(−0.669),(−0.552)
ComPaperBackup,−0.014,−0.039,−0.403***,−0.400***,−0.276***,−0.276***
,(−0.206),(−0.866),(−13.206),(−12.957),(−9.021),(−9.040)
CorpPurposes,−0.047*,−0.004,−0.034***,−0.045***,−0.020,−0.019
,(−1.748),(−0.206),(−2.957),(−3.723),(−1.618),(−1.522)
TermLoan,0.019,−0.039,0.271***,0.262***,0.183***,0.182***
,(0.440),(−1.493),(11.345),(10.696),(7.975),(7.910)
