"
","
PhAC","Intraday performance
Accuracy (%)","Intraday performance
Precision (RSD,%)","Interday performance
Accuracy (%)","Interday performance
Precision (RSD,%)","
ME (%)","
LOD (ng                         g                          −                          1                        )","
LOQ (ng                         g                          −                          1                        )"
1,Acetaminophen,48,6,40,20,−21,1.7,5.2
2,Acridone,91,3,92,10,−33,0.8,2.3
3,Atenolol,90,7,91,8,−35,1.5,4.5
4,Bezafibrate,85,10,75,21,−25,1.2,3.6
5,Bromazepam,77,5,79,17,−4,0.6,1.7
6,Caffeine,99,6,104,8,54,1.7,5.3
7,Carazolol,97,3,112,16,−22,1.3,4.0
8,Carbamazepine,85,4,85,10,−18,1.5,4.6
9,Chlorpromazine,97,2,96,21,−15,1.3,3.9
10,Clarithromycin,81,5,88,5,−6,1.9,5.8
11,Codeine,86,7,86,17,−5,1.7,5.3
12,Diazepam,94,2,103,13,−55,2.3,6.9
13,Diltiazem,100,3,86,16,−70,0.6,2.0
14,Erythromycin,152,8,133,21,65,1.0,3.1
15,Fenofibrate,153,8,130,11,−83,3.4,10.4
16,Flumequine,57,4,64,20,−88,0.4,1.1
17,Fluoxetine,113,7,101,24,−78,1.9,5.8
18,Furazolidone,102,9,97,20,−23,0.4,1.1
19,Ketamine,80,1,81,12,−24,0.4,1.1
20,Ketoprofen,92,4,86,15,29,1.7,5.0
21,Lamotrigine,77,19,87,19,−45,2.6,8.0
22,Loratadine,113,12,119,18,−69,3.6,10.8
23,Lorazepam,101,3,102,8,−25,1.6,4.9
24,Mefenamic acid,111,4,110,22,−43,1.3,4.1
25,Mephedrone,79,4,84,1,−45,0.3,0.9
26,Methadone,104,14,111,13,−74.5,1.0,3.0
27,Metoprolol,89,11,75,9,14,1.3,3.9
28,Midazolam,94,3,103,21,−41,0.7,2.1
29,Nalidixic acid,51,7,43,15,−39,0.1,0.2
30,Oxazepam,98,3,100,9,−37,0.4,1.4
31,Oxcarbazepine,117,6,114,12,−14,0.4,1.3
32,Propyphenazone,94,3,94,10,−26,0.4,1.3
33,Salbutamol,50,1,53,10,−5,1.0,2.9
34,Sertraline,78,3,83,24,−67,2.8,8.5
35,Sotalol,65,6,68,16,64,1.1,3.4
36,Sulfadimethoxine,125,4,128,20,−45,1.1,3.3
37,Sulfamethazine,172,4,110,9,19,0.8,2.4
38,Sulfamethoxazole,101,8,113,22,−26,0.7,2.2
39,Sulfapyridine,104,5,110,18,28,0.3,1.0
40,Temazepam,100,4,100,9,−20,2.0,5.9
41,Trimethoprim,76,2,80,12,−46,1.8,5.5
42,Valsartan acid,62,21,55,17,48,0.8,2.5
43,Valsartan,78,14,87,12,42,1.0,2.9
44,Venlafaxine,93,5,88,8,−53,1.2,3.7
45,Verapamil,86,4,82,6,−52,3.5,10.7
46,Warfarin,104,1,112,10,−65,1.0,2.9
47,Zolpidem,107,5,106,7,−45,1.0,3.0
