Site name,median (95 % range),bias,RMSE,R                          2,ME
1) Australian Capital Territory,37 (0−71),0.3,7.3,0.90,0.90
2) Alice Springs (NT),36 (26−43),−1.1,3.5,0.56,0.42
3) Credo (WA),18 (6−33),0.3,4.2,0.63,0.62
4) Litchfield (NT),24 (15−36),0.2,4.4,0.41,0.40
5) Robson (Qld),92 (0−98),−0.8,8.2,0.91,0.91
6) Rushworth (Vic),43 (31−49),−0.3,3.4,0.70,0.70
7) Tumbarumba (NSW),52 (25−70),1.4,7.1,0.62,0.61
8) Warra (Tas),91 (50−96),−1.7,9.0,0.34,0.32
9) Watts (Vic),86 (66−94),−3.6,9.1,0.12,−0.41
10) Whroo (Vic),42 (36−47),−0.8,2.7,0.24,−0.05
11) ZigZag (Vic),59 (44−82),1.8,8.1,0.35,0.23
