Scenario (baseline/alternate),adult-prevalence,m-f-prev-ratio,%adult-male-harvest-tested,%adult-female-harvest-tested
1,0.002,0.5,0.1,0.1
2,0.002,0.5,0.2,0.2
3,0.002,0.5,0.3,0.3
4,0.002,0.5,0.4,0.4
5,0.002,0.5,0.5,0.5
6,0.004,0.5,0.1,0.1
7,0.004,0.5,0.2,0.2
8,0.004,0.5,0.3,0.3
9,0.004,0.5,0.4,0.4
10,0.004,0.5,0.5,0.5
11,0.006,0.5,0.1,0.1
12,0.006,0.5,0.2,0.2
13,0.006,0.5,0.3,0.3
14,0.006,0.5,0.4,0.4
15,0.006,0.5,0.5,0.5
16,0.008,0.5,0.1,0.1
17,0.008,0.5,0.2,0.2
18,0.008,0.5,0.3,0.3
19,0.008,0.5,0.4,0.4
20,0.008,0.5,0.5,0.5
21,0.01,0.5,0.1,0.1
22,0.01,0.5,0.2,0.2
23,0.01,0.5,0.3,0.3
24,0.01,0.5,0.4,0.4
25,0.01,0.5,0.5,0.5
