Parameters,DC,DCWW,WEOM,NCTW
pH,8.3 ± 0.20,8.0 ± 0.10,8.5 ± 0.10,7.8 ± 0.20
DO (mg/L),8.4 ± 0.20,7.9 ± 0.20,7.9 ± 0.10,8.5 ± 0.30
EC (μS/cm),881 ± 0.58,838 ± 0.80,700 ± 0.50,551 ± 0.58
Total Nitrogen TN (mg/L),1.1 ± 0.06,6.7 ± 0.14,1.8 ± 0.01,1.1 ± 0.06
NH                         4                          −                        -N (mg/L),0.03 ± 0.00,1.2 ± 0.03,0.7 ± 0.02,0.03 ± 0.00
PO                         4                        -P,< 0.3,1.6 ± 0.00,< 0.3,< 0.3
Se(IV) (μg/L),< 2,< 2,< 2,< 2
Cu(II) (μg/L),16.7 ± 0.28,8.2 ± 2.30,138.5 ± 2.12,5.2 ± 2.30
Pb(II) (μg/L),< 5,< 5,< 5,< 5
Ni(II) (μg/L),< 5,< 5,< 5,< 5
Zn(II) (μg/L),29.5 ± 2.10,27.5 ± 0.71,47.5 ± 0.50,7.1 ± 1.30
