Parameters,316L SS,Ti-6Al-4V,IN718
A,0.36 [                         24                        ],0.7 [                         34                        ],0.59 [                         35                        ]
h                            s                          (J/m                         3                        ),7.76×10                         9                        [                         36                        ],6.15×10                         9                        [                         36                        ],6.81×10                         9                        [                         36                        ]
d                        (m                         2                        /s),6×10                         −6                        [                         24                        ],1.07×10                         −5                        [                         37                        ],6×10                         −6                        [                         38                        ]
μ                        (Pa),"(88,884.6–37.3                         T                        )×10                         6                        [                         39                        ]",(49-                             4.355                                exp                                    198                                    T                                    −                                1                              )×10                         9                        [                         40                        ],"83,100(1–0.5(                               T                                −                                300                                  T                                m                              ))×10                         6                        [                         41                        ]"
b                        (m),2.54×10                         −10                        [                         42                        ],2.9×10                         −10                        [                         9                        ],2.54×10                         −10                        [                         43                        ]
B,80 [                         44                        ],80.9 [                         45                        ],34 [                         46                        ]
n,0.33 [                         44                        ],0.34 [                         45                        ],0.25 [                         46                        ]
α                            CTE                          (/K),20.21×10                         −6                        [                         47                        ],2.11×10                         −6                        [                         48                        ],17.5×10                         −6                        [                         49                        ]
ν,0.3,0.3,0.3
η,1 [                         50                        ],1 [                         50                        ],1 [                         50                        ]
k                        (W/m⋅K),27.8 [                         47                        ],27 [                         51                        ],29.3 [                         52                        ]
μ                          0                        (Pa),8.88×10                         10,49.02×10                         9,8.31×10                         10
α,0.3 [                         53                        ],0.3 [                         53                        ],0.3 [                         53                        ]
T                            b                          (K),2885 [                         36                        ],3533 [                         36                        ],3188 [                         36                        ]
T                            m                          (K),1648 [                         36                        ],1877 [                         36                        ],1528 [                         36                        ]
c                        (m/s),5280 [                         54                        ],4898 [                         54                        ],5205 [                         54                        ]
E                            m                          (J/mol),73×10                         3                        [                         55                        ],121×10                         3                        [                         56                        ],135×10                         3                        [                         57                        ]
C                            p                          (J/Kg⋅K),663[                         36                        ],758 [                         36                        ],725 [                         36                        ]
