ID,C,E,V,F,S,X,Y
26,[17                         10                        ],−1110.9227,17.0387,0.0000,1,0.370,−1.1849
28,[27 0],−1604.0364,22.8210,0.0000,144,0.000,0.000
46,[                         8                          2                        ],−1337.8241,19.6973,0.0000,53,0.200,−0.7089
71,[                         2                          9                        ],−513.0993,13.4886,0.0000,1,0.818,−1.0133
92,[                         7                        14],−715.7423,17.7711,0.0000,1,0.667,−1.4432
108,[13 16],−869.2586,14.2094,0.0000,1,0.552,−1.5566
110,[27                         1                        ],−1556.5567,21.1000,0.0000,1,0.036,−0.1848
127,[                         1                          12                        ],−372.6535,9.3197,0.0000,1,0.923,−0.5611
133,[0 9],−269.4304,8.0945,0.0000,1,1.000,0.0000
130,[0 11],−269.4190,8.0942,0.0114,1,1.000,0.0114
