"Synthesised Finding One Facilitators
Studies","Synthesised Finding One Facilitators
Engaging in exercise","Synthesised Finding One Facilitators
Having Support","Synthesised Finding One Facilitators
Value of taking medications","Synthesised Finding One Facilitators
Lifestyle modification"
Attebring et al. (2005),,,✓,
Bryant et al. (2013),,,✓,
Condon & McCarthy (2006),,✓,,
Cooper et al. (2005),✓,,,
Day & Batten (2006),,,,
Frohmader et al. (2016),,✓,,
Galdas et al. (2012),,,,
Gambling (2003),,,,✓
"Gregory, Bostock & Backett-Milburn (2006)",,,,
Herber et al. (2017),✓,✓,,✓
"L. Junehag, Asplund, & Svedlund (2014a)",✓,,,
"L. Junehag, Asplund, & Svedlund (2014                        b)",,✓,,
Lehane et al. (2008),,,✓,
Little                           and Lewis                          (2006),✓,,,
Martin & Woods (2012),✓,✓,,
McCorry et al. (2009),,,,
Tolmie et al. (2009),,,,
Traywick & Schoenberg (2008),✓,✓,,
Webster et al. (2002),,,,
White et al. (2010),✓,,✓,
White et al. (2011),,,,✓
Wyer et al. (2001),✓,✓,,✓
