,Men (n = 99),Women (n = 63),P value
Improvement in symptoms*,82 (95%),46 (94%),0.71
Peak LVOT gradient (mmHg)†,10 [7–18],19 [10–38],0.001
LVOT gradient reduction (mmHg)†,65 [45–80],68 [36–81],0.91
LVOT gradient reduction (%)†,86 [69–92],77 [55–86],<0.01
Post-operative LVOT gradient ≥30 mmHg,9 (9%),12 (19%),0.07
AMLE performed‡,76 (78%),38 (62%),0.04
Complications,17 (18%),9 (14%),0.59
Peri-operative mortality,0 (0%),1 (2%),0.21
Mediastinitis,3 (3%),0 (0%),0.16
Ventricular septal defect,1 (1%),0 (0%),0.42
Pericardial effusion requiring drainage,14 (14%),5 (8%),0.39
Conduction disturbance requiring pacing,3 (3%),3 (5%),0.59
Stroke,0 (0%),0 (0%),–
Length of hospital stay (days),8 [7–9],9 [6–10],0.46
Outcome,,,
Repeat septal reduction therapy,2 (2%),0 (0%),
Aborted sudden cardiac death,2 (2%),0 (0%),
All-cause mortality,10 (10%),5 (8%),
Peri-operative mortality,0 (0%),1 (1%),
Sudden cardiac death,1 (1%),0 (0%),
HCM-related death,0 (0%),2 (3%),
Non-cardiac death,3 (3%),0 (0%),
Unknown,6 (6%),2 (3%),
Cardiac transplantation,1 (1%),0 (0%),
