,Nat,EU,Education
h                                  2,.223,.294,.376
,[.109;.337],[.187;.402],[.319;.436]
c                                  2,−.024,.028,.361
,[−.120;.071],[−.065;.118],[.304;.414]
e                                  2,.801,.678,.263
,[.765;.837],[.645;.711],[.248;.279]
,,,
Biv.                               h                                  2,.056,.083,–
,[−.004;.117],[.025;.142],
Trait corr.,.071,.198,
,[.051;.091],[.179;.218],
%                                  r                                    g,79%,42%,–
