"

Liquid                                 V                                  i                                  ¯","

C1","Linear regression
Sections 2                        and                         3
0.0892                         4","Quadratic regression
Eq. (28)
0.0891                         4","Gaussian process
Eq. (29)
0.0889                         4","Pure component

–"
[                                  m                                  3                                  /                                mol                                ]                                ×                                10                                  −                                  3,C4,0.0927                         9,0.0927                         9,0.0929                         9,0.102970                         10
,C10,0.140                         2,0.135                         3,0.139                         2,0.196578                         14
MAD [nm                         3                        ],,1.26                         1,1.26                         1,1.26                         2,
Vapor                                 V                                  i                                  ¯,C1,0.1535                         2,0.1520                         5,0.1535                         2,0.15221                         3
[                                  m                                  3                                  /                                mol                                ]                                ×                                10                                  −                                  3,C4,−                              0                              .                                016                                1,−                              0                              .                                015                                1,−                              0                              .                                016                                1,–
,C10,−                              0                              .                                253                                6,−                              0                              .                                253                                6,−                              0                              .                                265                                7,–
MAD [nm                         3                        ],,3.23                         1,3.22                         1,3.24                         4,
Liquid                                 U                                  i                                  ¯,C1,−                              0                              .                                63                                2,−                              0                              .                                63                                2,−                              0                              .                                63                                2,–
[kJ/mol],C4,−                              11                              .                                38                                7,−                              11                              .                                39                                8,−                              11                              .                                40                                8,−                              11                              .                                084                                2
,C10,−                              17                              .                                8                                1,−                              18                              .                                1                                3,−                              17                              .                                8                                1,−                              16.316
MAD [K],,1.712                         8                        × 10                         2,1.710                         8                        × 10                         2,1.72                         1                        × 10                         2,
Vapor                                 U                                  i                                  ¯,C1,−                              1                              .                                09                                1,−                              1                              .                                12                                1,−                              1                              .                                08                                1,−                              1                              .                                5990                                4
[kJ/mol],C4,−                              8                              .                                26                                5,−                              8                              .                                24                                6,−                              8                              .                                26                                6,–
,C10,−                              12                              .                                9                                2,−                              12                              .                                9                                2,−                              12                              .                                0                                2,–
MAD [K],,94                         1,94                         1,94                         1,
Liquid                                 H                                  i                                  ¯,C1,0.79                         2,0.78                         3,0.78                         3,–
[kJ/mol],C4,−                              9                              .                                7                                1,−                              9                              .                                8                                1,−                              9                              .                                8                                1,−                              9                              .                                420                                4
,C10,−                              15                              .                                7                                2,−                              16                              .                                0                                4,−                              15                              .                                6                                2,−                              13                              .                                134                                14
MAD [K],,2.67                         2                        × 10                         2,2.67                         2                        × 10                         2,2.67                         3                        × 10                         2,
Vapor                                 H                                  i                                  ¯,C1,1.42                         1,1.38                         3,1.42                         1,0.8716                         13
[kJ/mol],C4,−                              8                              .                                6                                1,−                              8                              .                                6                                1,−                              8                              .                                6                                1,–
,C10,−                              16                              .                                8                                3,−                              16                              .                                8                                3,−                              16                              .                                2                                4,–
MAD [K],,2.33                         2                        × 10                         2,2.33                         2                        × 10                         2,2.33                         3                        × 10                         2,
