Compound,Structure,Target,Chemistry,Year,Ref.
[                         11                        C]Pimozide                          1,Image 1,"Dopamine D                         2                        inhibitor,                        α-adrenergic and 5-HT                         2                        antagonist",Synthesized from [                         11                        C]CO                         via                        [                         11                        C]phosgene,1980                        1983,"[                         17                        ,                         18                        ]"
[                         11                        C]Ketanserin                          2,Image 2,5-HT                         2                        antagonist,Labelled from [                         11                        C]CO                         via                        [                         11                        C]phosgene,1983,"[                         17                        ,                         19                        ]"
[                         11                        C]Benzotript                          3,Image 3,Cholecystokinin receptor antagonist,"Pd(Ph                         3                        )                         4                         DMSO, 130 °C                        5 min",1999,[                         77                        ]
[                         11                        C]Thalidomide                          4,Image 4,Immuno-modulatory drug,"Pd(Ph                         3                        )                         4                         THF, 140 °C                        5 min",2001,[                         110                        ]
Not named                          5,Image 5,HIV 1 reverse transcriptase inhibitor,"Pd(PPh                         3                        )                         2                        Cl                         2                         K                         2                        CO                         3                         Anisole, 100 °C                        10 min",2002,[                         72                        ]
[                         carbonyl-                          11                        C]PK11195                          6,Image 6,18 kDa translocator protein radioligand,"Pd(Ph                         3                        )                         4                         LiBr                        THF, 180 °C                        5 min",2002,[                         94                        ]
[                         11                        C]Nicotinamide                          7,Image 7,Active form of vitamin B                         3,"Pd(Ph                         3                        )                         4                         Dioxane, 80 °C                        5 min",2002,[                         78                        ]
[                         11                        C]CX546                          8,Image 8,AMPA receptor ligand,"E.g.                         [(cinnamyl)PdCl]                         2                        + Xantphos                        THF, 40 °C                        6 min",2002                        2015,"[                         36                        ,                         92                        ]"
[                         11                        C]Etomidate                          9,Image 9                           (multistep synthesis),Cytochrome P450 inhibitor,"Pd                         2                        (dba)                         3                        + PPh                         3                         THF, 145 °C                        5 min",2004,[                         100                        ]
[                         11                        C]Lidocaine                          10,Image 10                           (multistep synthesis),Registered drug. Voltage-gated sodium channels modulator,"Pd                         2                        (dba)                         3                        + PPh                         3                         THF, 145 °C                        5 min",2004,[                         100                        ]
[                         11                        C]Valproic acid                          11,Image 11,Registered drug affecting GABA release,"UV-light DMSO, 6 min",2005,[                         142                        ]
Not named                          12,Image 12                           (multistep synthesis),Propyl analogue of Etomidate targeting cytochrome P450 inhibitor,"Pd                         2                        (dba)                         3                        + PPh                         3                         p-toluene-sulfonic acid                        THF, 70 °C                        3 min",2006,[                         109                        ]
[                         11                        C]DAA1106                          13,Image 13,18 kDa translocator protein,"Pd(Ph                         3                        )                         4                         THF, 150 °C                        5 min",2007,[                         84                        ]
