"Parameter
Population","Study cohort (n = 20)
Dialysis patients with SHPT","Benito et al. (2003)                        (n = 10)
Eugonadal men","Benito et al. (2003)                        (n = 10)
Hypogonadal men","Sharma et al. (2018)                        (n = 14)
CKD pre kidney transplant","Wehrli et al. (2004)                        (n = 17)
HD patients","Wehrli et al. (2004)                         (n = 17)
Control group"
Age,48 ± 12,53.7 ± 13.2,53.1 ± 13.4,46 ± 11.3,40.3 ± 6.4,40.2 ± 6.7
"Gender, male",15 (75%),10 (100%),10 (100%),9 (62.5%),9 (53%),9 (53%)
CKD stage,CKD5 on dialysis,No CKD,No CKD,CKD pre transplant,CKD5 on dialysis,No CKD
S/C,5.4 ± 2.3,10.8 ± 2.4,6.9 ± 1.8,5.51 ± 1.36,5.6 ± 1.5,6.4 ± 0.6
EI,1.01 ± 0.3,0.89 ± 0.13,1.21 ± 0.24,0.91 ± 0.25,1.17 ± 0.45,0.97 ± 0.21
BV/TV (%),10.8 ± 2.9,14.3 ± 1.1,12 ± 1.6,10.4 ± 2.2,12 ± 2.2,13.3 ± 2
TbTh (mm),0.128 ± 0.007,,,0.126 ± 0.005,0.151 ± 0.019,0.156 ± 0.013
TbN (1/mm),0.84 ± 0.17,,,0.82 ± 0.14,,
TbS (mm),1.107 ± 0.219,,,1.120 ± 0.023,,
CTh (mm),2.698 ± 0.630,,,2.632 ± 0.545,,
