"Treatments
Treatments","Factors
hydrolyzed gelatin concentration (%)","Factors
Freezing method","Dependent variables
Freezing rate elevation (%)","Dependent variables
Phase transition rate elevation (%)"
G                         10%                        -B-IF,10,IF,5.9 ± 0.6                         h,11.6 ± 0.7                         i
G                         10%                        -B-CFUF(I + II                         40 kHz                        ),10,CFUF,17.9 ± 0.6                         f,31.9 ± 1.2                         e
G                         10%                        -B-VFUF(I                         40                          kHz                        + II                         28 kHz                        ),10,VFUF,22.9 ± 0.6                         d,42.0 ± 1.0                         c
G                         15%                        -B-IF,15,IF,10.6 ± 0.5                         g,15.3 ± 1.1                         h
G                         15%                        -B-CFUF(I + II                         40 kHz                        ),15,CFUF,19.0 ± .05                         f,32.5 ± .06                         e
G                         15%                        -B-VFUF(I                         40                          kHz                        + II                         28 kHz                        ),15,VFUF,27.9 ± 0.7                         b,46.2 ± 0.8                         b
G                         20%                        -B-IF,20,IF,11.5 ± 0.9                         g,18.7 ± 0.7                         f
G                         20%                        -B-CFUF(I + II                         40 kHz                        ),20,CFUF,24.8 ± 1.0                         c,36.9 ± 1.2                         d
G                         20%                        -B-VFUF(I                         40                          kHz                        + II                         28 kHz                        ),20,VFUF,33.2 ± 0.6                         a,50.9 ± 1.0                         a
G                         25%                        -B-IF,25,IF,11.7 ± 1.0                         g,18.0 ± 0.6                         fg
G                         25%                        -B-CFUF(I + II                         40 kHz                        ),25,CFUF,19.4 ± 0.9                         f,32.7 ± 0.7                         e
G                         25%                        -B-VFUF(I                         40                          kHz                        + II                         28 kHz                        ),25,VFUF,28.2 ± 0.7                         b,46.3 ± 0.9                         b
G                         30%                        -B-IF,30,IF,11.7 ± 0.9                         g,16.6 ± 0.7                         gh
G                         30%                        -B-CFUF(I + II                         40 kHz                        ),30,CFUF,21.2 ± 1.3                         e,35.9 ± 0.8                         d
G                         30%                        -B-VFUF(I                         40                          kHz                        + II                         28 kHz                        ),30,VFUF,29.2 ± 0.9                         b,47.6 ± 1.0                         b
