,63                        Cu                         107                        Ag,63                        Cu                         109                        Ag,65                        Cu                         107                        Ag,65                        Cu                         109                        Ag
T                                    0,25823.5677(47),25823.6688(42),25823.8596(45),25823.9483(67)
B                                    0,0.0701494(46),0.0696803(34),0.0687743(40),0.0682696(52)
T                                    1,25986.2429(51),25985.8066(46),25984.9721(63),25984.5348(62)
B                                    1,0.0695273(64),0.0690485(58),0.0681824(75),0.0676570(77)
T                                    2,26146.3721(43),26145.3914(46),26143.5546(48),26142.6111(46)
B                                    2,0.0688597(31),0.0684104(37),0.0675925(44),0.0670311(38)
,,,,
ω                                    e,164.2(2),163.7(2),162.6(2),162.1(2)
ω                                    e                                    ′,164.2(2),163.7(2),162.6(2),162.1(2)
B                                    e,0.07048(2),0.069999(3),0.0690694(9),0.068581(7)
B                                    e                                    ′,0.07048(2),0.070000(3),0.0691141(9),0.068635(7)
α                                    e                                  ×                                  10                                    4,−6.4(1),−6.35(2),−5.909(5),−6.19(4)
r                                    e,2.4573(8),2.4573(1),2.45807(3),2.4582(2)
