"Exp. Points
Exp. Points
Exp. Points","Ascending load
Indicated Mass
g","Ascending load
Ajusted Mass
G","Descending load
Indicated Mass
g","Descending load
Ajusted Mass
g","Uncertainty analysis
Adjusted Uncertainty
g","Uncertainty analysis
Standard Mass Uncertainty
g","Uncertainty analysis
Resolution Uncertainty
g","Uncertainty analysis
Combined Uncertainty
g","Uncertainty analysis
Expanded Uncertainty
g"
1,0.0022,−0.0007,0.0024,74.0094,0.00063,0.0000000,0.000029,0.00063,0.0012
2,0.5022,0.5019,0.5024,74.5120,0.00063,0.0000042,0.000029,0.00063,0.0012
3,2.5022,2.5123,2.5026,76.5226,0.00063,0.0000077,0.000029,0.00063,0.0012
4,4.5022,4.5227,4.5025,78.5329,0.00063,0.0000101,0.000029,0.00063,0.0012
5,6.5024,6.5333,6.5027,80.5435,0.00063,0.0000107,0.000029,0.00063,0.0012
6,8.5024,8.5437,8.5026,82.5538,0.00063,0.0000125,0.000029,0.00063,0.0012
7,10.5023,10.5540,10.5029,84.5645,0.00063,0.0000108,0.000029,0.00063,0.0012
8,12.5023,12.5644,12.5028,86.5748,0.00063,0.0000126,0.000029,0.00063,0.0012
9,14.5024,14.5749,14.5029,88.5853,0.00063,0.0000142,0.000029,0.00063,0.0012
10,16.5023,16.5852,16.5029,90.5957,0.00063,0.0000146,0.000029,0.00063,0.0012
11,18.5025,18.5958,18.5029,92.6061,0.00063,0.0000160,0.000029,0.00063,0.0012
12,20.5025,20.6062,20.5028,94.6164,0.00063,0.0000141,0.000029,0.00063,0.0012
13,22.5027,22.6168,22.5030,96.6270,0.00063,0.0000155,0.000029,0.00063,0.0012
14,24.5026,24.6271,24.5029,98.6373,0.00063,0.0000169,0.000029,0.00063,0.0012
15,26.5027,26.6376,26.5029,100.6477,0.00063,0.0000167,0.000029,0.00063,0.0012
16,28.5028,28.6481,28.5033,102.6585,0.00063,0.0000179,0.000029,0.00063,0.0012
17,30.5028,30.6585,30.5031,104.6687,0.00063,0.0000173,0.000029,0.00063,0.0012
18,32.5028,32.6689,32.5032,106.6792,0.00063,0.0000185,0.000029,0.00063,0.0012
19,34.5028,34.6793,34.5030,108.6894,0.00063,0.0000196,0.000029,0.00063,0.0012
20,36.5028,36.6897,36.5030,110.6998,0.00063,0.0000199,0.000029,0.00063,0.0012
21,38.5028,38.7001,38.5034,112.7106,0.00063,0.0000210,0.000029,0.00063,0.0012
22,40.5027,40.7104,40.5031,114.7207,0.00063,0.0000195,0.000029,0.00063,0.0012
23,42.5028,42.7209,42.5031,116.7311,0.00063,0.0000206,0.000029,0.00063,0.0012
24,44.5030,44.7315,44.5032,118.7416,0.00063,0.0000216,0.000029,0.00063,0.0012
25,46.5028,46.7417,46.5032,120.7520,0.00063,0.0000219,0.000029,0.00063,0.0012
26,48.5030,48.7523,48.5032,122.7624,0.00063,0.0000228,0.000029,0.00063,0.0012
27,50.5031,50.7628,50.5031,124.7727,0.00063,0.0000170,0.000029,0.00063,0.0012
28,52.5033,52.7734,52.5031,126.7831,0.00063,0.0000182,0.000029,0.00063,0.0012
29,54.5033,54.7838,54.5031,128.7935,0.00063,0.0000193,0.000029,0.00063,0.0012
30,56.5032,56.7941,56.5031,130.8039,0.00063,0.0000197,0.000029,0.00063,0.0012
31,58.5034,58.8047,58.5029,132.8141,0.00063,0.0000207,0.000029,0.00063,0.0012
32,60.5030,60.8147,60.5032,134.8248,0.00063,0.0000197,0.000029,0.00063,0.0012
33,62.5032,62.8253,62.5031,136.8351,0.00063,0.0000208,0.000029,0.00063,0.0012
34,64.5032,64.8357,64.5033,138.8457,0.00063,0.0000218,0.000029,0.00063,0.0012
35,66.5031,66.8460,66.5033,140.8561,0.00063,0.0000221,0.000029,0.00063,0.0012
36,68.5033,68.8566,68.5032,142.8664,0.00063,0.0000230,0.000029,0.00063,0.0012
37,70.5029,70.8666,70.5035,144.8771,0.00063,0.0000217,0.000029,0.00063,0.0012
38,72.5031,72.8772,72.5035,146.8875,0.00063,0.0000227,0.000029,0.00063,0.0012
39,74.5030,74.8875,74.5035,148.8979,0.00063,0.0000236,0.000029,0.00063,0.0012
40,76.5031,76.8980,76.5036,150.9084,0.00063,0.0000239,0.000029,0.00063,0.0012
41,78.5032,78.9085,78.5035,152.9187,0.00063,0.0000247,0.000029,0.00063,0.0012
42,80.5027,80.9184,80.5035,154.9291,0.00063,0.0000239,0.000029,0.00063,0.0012
43,82.5032,82.9293,82.5035,156.9395,0.00063,0.0000248,0.000029,0.00063,0.0012
44,84.5031,84.9396,84.5034,158.9498,0.00063,0.0000256,0.000029,0.00063,0.0012
45,86.5033,86.9502,86.5036,160.9604,0.00063,0.0000239,0.000029,0.00063,0.0012
46,88.5031,88.9604,88.5036,162.9708,0.00063,0.0000247,0.000029,0.00063,0.0012
47,90.5033,90.9710,90.5035,164.9811,0.00063,0.0000256,0.000029,0.00063,0.0012
48,92.5033,92.9814,92.5035,166.9915,0.00063,0.0000264,0.000029,0.00063,0.0012
49,94.5033,94.9918,94.5035,169.0019,0.00063,0.0000272,0.000029,0.00063,0.0012
50,96.5037,97.0026,96.5037,171.0125,0.00063,0.0000274,0.000029,0.00063,0.0012
