Peak n.,Ret. Time (min),C. capituliflora,F. arenicola,F. cannavieira,G. tagoara,M. riedeliana,P. micrantha
1,1.87,0.000,0.000,0.000,0.067,0.000,0.000
2,4.22,0.000,0.000,0.000,0.000,0.000,0.000
3,4.88,0.032,0.000,0.000,0.000,0.000,0.000
4,5.35,0.000,0.000,0.000,0.563,0.000,0.000
5,6.49,13.493,12.354,13.949,19.088,14.338,17.036
6,6.74,0.000,0.000,0.000,0.000,0.067,0.000
7,7.34,0.039,0.000,0.000,0.051,0.000,0.000
8,10.86,39.595,53.575,52.796,42.907,37.566,32.491
9,11.23,17.821,15.300,14.729,18.201,15.783,15.839
10,12.74,1.980,1.863,0.896,0.981,1.144,2.747
11,13.20,0.032,0.000,0.000,0.000,0.043,0.000
12,13.84,0.000,0.000,0.000,0.033,0.000,0.000
13,15.56,0.000,0.000,0.000,0.000,0.064,0.000
14,16.48,0.815,0.759,0.850,0.550,0.000,0.000
15,17.68,0.391,0.748,0.793,0.682,1.692,4.088
16,18.50,0.758,0.000,0.000,0.000,0.000,0.000
17,18.99,10.334,9.254,9.308,7.773,1.689,2.957
18,19.43,3.771,4.426,4.660,2.774,0.000,0.000
19,20.26,0.347,0.000,0.365,0.000,13.564,15.642
20,21.73,0.554,0.000,0.000,0.069,5.323,7.255
21,22.83,4.545,1.722,1.506,2.174,0.881,0.378
22,23.58,1.374,0.000,0.062,1.398,3.370,0.463
23,24.56,0.033,0.000,0.000,0.131,0.799,1.105
24,27.35,0.000,0.000,0.000,0.687,0.000,0.000
25,30.30,0.336,0.000,0.000,0.753,0.000,0.000
26,30.97,0.000,0.000,0.000,0.000,0.000,0.000
27,33.45,1.694,0.000,0.000,0.996,0.193,0.000
28,35.19,0.000,0.000,0.000,0.000,0.000,0.000
29,36.80,0.493,0.000,0.000,0.038,3.488,0.000
30,41.96,1.564,0.000,0.088,0.084,0.000,0.000
