Items,N,Mean,SD
Availability of staff counseling,172,4.09,0.72
Have benefited from treatment,171,4.25,0.75
Problems understood by staff,172,4.26,0.72
Opportunities to affect treatment plan,171,3.78,0.92
Felt safe at the institution               a,171,171,4.54
Satisfactory activities were offered,170,3.86,0.85
Personnel cooperated with next of kin               b,136,3.83,0.83
Had been prepared for the time after discharge,169,3.89,0.79
Enough time in treatment to sort out problems,171,3.86,0.95
Overall treatment was satisfactory,172,4.21,0.68
