Wilcoxon's matched pair test,Foundations,Controls,p-value
Species richness,Mean ± SE,Mean ± SE,p-value
2007,3.62                         ±                        0.32,2.05 ± 0.24,0.002
2008,5.11 ± 0.36,2.21 ± 0.35,<0.001
2016,8.71 ± 0.44,3.36 ± 0.48,<0.001
2017,7.73 ± 0.43,2.53 ± 0.36,0.001
2018,65.62 ± 0.4,1.46 ± 0.24,0.002
2019,9.67 ± 0.46,2.87 ± 0.12,0.001
Total number of individuals,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,6.95 ± 0.6,14 ± 0.96,0.005
2008,15.21 ± 1.38,68 ± 2.14,0.002
2016,42.5 ± 3.48,7.07 ± 0.98,<0.001
2017,23.07 ± 2.4,3.73 ± 0.63,<0.001
2018,31.54 ± 7.91,4.69 ± 1.2,0.004
2019,43.8 ± 7.28,7.73 ± 0.6,<0.001
Shannon-Wiener biodiversity,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,1.04 ± 0.09,0.64 ± 0.08,0.011
2008,1.25 ± 0.07,0.49 ± 0.12,<0.001
2016,1.71 ± 0.06,0.91 ± 0.13,<0.001
2017,1.65 ± 0.05,0.73 ± 0.13,<0.001
2018,1.32 ± 0.1,0.3 ± 0.11,<0.001
2019,1.84 ± 0.06,0.73 ± 0.13,<0.001
Mann-Whitney                           U                          test,Foundations,Controls,
Evenness,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,0.28 ± 0.02,0.32 ± 0.01,0.02
2008,0.25 ± 0.01,0.28 ± 0.02,0.149
2016,0.2 ± 0.01,0.28 ± 0.02,<0.001
2017,0.22 ± 0.01,0.3 ± 0.02,<0.001
2018,0.24 ± 0.01,0.32 ± 0.02,0.009
2019,0.2 ± 0.01,0.32 ± 0.01,<0.001
