Aerobic bacteria,Frequency,Percentages
Groups,,
Methicillin Resistant Staphylococcus Aureus (MRSA),3,6.5
Klebsiella pneumoniae,2,4.3
Streptococcus spp                        . (alpha hemolytic streptococcus),16,34.7
Escherichia coli,1,2.1
Methicillin Sensitive Coagulase Negative Staphylococcus (MSCNS),11,23.9
Non A Non B Group Beta Hemolytic Streptococcus,2,4.3
Brucella Melitensis,1,2.1
Methicillin Sensitive Staphylococcus Aureus (MSSA),3,6.5
Streptococcus pyogenes,1,2.1
Methicillin Resistant Coagulase Negative Staphylococcus (MRCNS),3,6.5
Streptococcus mitis/oralis (alpha hemolytic streptococcus),1,2.1
Streptococcus pneumoniae,1,2.1
Mycobacterium tuberculosis,1,2.1
