Paving,conventional asphalt concrete,unconventional asphalt concrete
Start Time from the paving,9:00 h,15:25 h
Temperature in 8:00 and 9:00 h,31 and 32 °C,32 e 33 °C
Air humidity at 9:00 and 11:00 h,77 and 68 %,64 e 62 %
Asphalt Temperature on Truck,170 °C,175 °C
Application temperature,165 °C,170 °C
Pneumatic tire rollers 176.51 kN,18 nunber of past,26 nunber of past
tandem roller 98.07 kN no vibration,10 nunber of past,19 nunber of pasts
Compaction temperature,150 °C,165 °C
Bulk Density,2.69 kN/m³,2.79 kN/m³
Degree of compaction,98.43 %,99.39 %
