,Instar,Concentrations (ppm),% mortality,Probit equation,LC                         50                        (±CL),χ                         2,p,R                         2
Extract,I,25,0,y = 0.2203x + 0.6641,250 ± 1.22,1.95,0.744,0.903
,,50,10,,,,,
,,100,30,,,,,
,,150,40,,,,,
,,250,50,,,,,
,II,25,0,y = 0.2203x + 0.6641,250 ± 1.22,1.95,0.744,0.903
,,50,10,,,,,
,,100,30,,,,,
,,150,40,,,,,
,,250,50,,,,,
,III,25,30,y = 0.1016x + 28.32,200 ± 1.18,2.27,0.686,0.825
,,50,30,,,,,
,,100,40,,,,,
,,150,50,,,,,
,,250,50,,,,,
,IV,25,0,y = 0.3125x - 15.938,200 ± 1.14,1.54,0.820,0.919
,,50,20,,,,,
,,100,30,,,,,
,,150,50,,,,,
,,250,60,,,,,
ZnO NPs,I,25,40,y = 0.2297x + 35.586,50 ± 0.23,2.67,0.615,0.898
,,50,50,,,,,
,,100,60,,,,,
,,150,70,,,,,
,,250,80,,,,,
,II,25,40,y = 0.2297x + 35.586,75 ± 0.25,2.74,0.603,0.898
,,50,50,,,,,
,,100,50,,,,,
,,150,80,,,,,
,,250,90,,,,,
,III,25,50,y = 0.1859x + 42.617 2,5 ± 0.23,2.74,0.602,0.988
,,50,50,,,,,
,,100,60,,,,,
,,150,70,,,,,
,,250,90,,,,,
,IV,25,60,**,**,**,**,**
,,50,90,,,,,
,,100,100,,,,,
,,150,100,,,,,
,,250,100,,,,,
TiO                         2                        NPs,I,25,60,y = 0.1188x + 62.344,15 ± 0.12,2.912,0.573,0.868
,,50,70,,,,,
,,100,80,,,,,
,,150,80,,,,,
,,250,90,,,,,
,II,25,40,y = 0.2141x + 37.383,50 ± 0.29,2.727,0.604,0.991
,,50,50,,,,,
,,100,60,,,,,
,,150,70,,,,,
,,250,90,,,,,
,III,25,50,y = 0.1234x + 49.805,25 ± 0.23,2.689,0.611,0.938
,,50,60,,,,,
,,100,60,,,,,
,,150,70,,,,,
,,250,80,,,,,
,IV,25,50,y = 0.1234x + 49.805,25 ± 0.34,2.710,0.608,0.938
,,50,60,,,,,
,,100,60,,,,,
,,150,70,,,,,
,,250,80,,,,,
