,FAX,NAX,WAX,AcFAX,AcNAX,AcWAX
Extraction yield (%)                           a,7.5,31.1,n.a,n.a.,n.a.,n.a.
Carbohydrate content (mg/g DW)                           b,944.2 ± 51.3,822.1 ± 34.8,992.1 ± 95.6,465.5 ± 64.6,385.2 ± 6.1,415.0 ± 15.1
Ara (%),15.1 ± 0.1,36.6 ± 0.3,37.9 ± 0.1,18.8 ± 0.2,45.2 ± 0.1,40.9 ± 2.6
Xyl (%),65.7 ± 0.5,53.1 ± 0.6,61.2 ± 0.2,65.4 ± 0.3,52.3 ± 0.3,58.3 ± 2.7
Glc (%),17.9 ± 0.3,7.8 ± 0.9,0.3 ± 0.1,14.5 ± 0.4,1.3 ± 0.4,0.3 ± 0.0
Gal (%),1.3 ± 0.1,2.5 ± 0.1,0.6 ± 0.2,1.3 ± 0.0,1.2 ± 0.0,0.5 ± 0.1
AX (%)                           c,80.9 ± 0.4,89.8 ± 1.0,99.1 ± 0.2,84.2 ± 0.5,97.5 ± 2.4,99.2 ± 0.1
Ara/Xyl                           d,0.2,0.7,0.6,0.3,0.9,0.7
Starch content (%)                           e,2.0 ± 0.1,3.3 ± 0.3,n.d.                           e,1.2 ± 0.0,1.2 ± 0.0,n.d.                           e
M                         n                        (10                         3                        g/mol)                           f,13.4,5.1,54.2,20.0,48.8,40.9
M                         w                        (10                         3                        g/mol)                           f,126.3,262.9,312.4,69.2,184.9,132.3
Dispersity index                           f,9.4,51.3,5.8,3.5,3.8,3.2
Total acetyl content (% DW)                           g,n.d.,n.d.,n.d.,34.6 ± 0.3                         1,33.1 ± 0.5                         2,36.5 ± 0.1                         3
DA                           h,n.d.,n.d.,n.d.,1.2 ± 0.0                         1,1.4 ± 0.0                         2,1.7 ± 0.0                         3
Phenolic acid content                        (mg g                         −1                        DW)                           i,10.3 ± 0.3,n.d.,n.d.,3.8 ± 0.5,n.d.,n.d.
Ferulic acid (%),79.0 ± 0.4,n.d.,n.d.,100 ± 0.5,n.d.,n.d.
Sinapic acid (%),19.9 ± 0.4,n.d.,n.d.,n.d.,n.d.,n.d.
5-5AcFE (%),1.1 ± 0.2,n.d.,n.d.,n.d.,n.d.,n.d.
EC                         50                        (mg AX/mg DPPH                          )                           j,17.7 ± 0.3,53.2 ± 3.9,n.a.,–,–,–
