Community and ward number,District,Community size (total household number),Assistance types,Total number of technical assistance interventions,Classification technical assistance intensity,Damage levels
Aaruaarbang −1,G,77,"B,C,G,H,I",47,H,5
Bakrang - 4,G,101,"B,C,F,H",12,H,4
Bungkot - 4,G,224,"B,C,E,F,G,H,I",60,H,4
Ghyalchok −8,G,98,"H,I",5,M,3
Keroja −5&6,G,250,"A,B,C,D,E,G,H",32,H,5
Lapu – 6,G,85,"B,C,G,H,I",46,H,5
Sirdibas −1,G,56,H,6,L,4
Swara – 9,G,79,"C,E,G,H,I",36,H,5
Bhussinga −4,O,85,"A,I,H",2,L,3
Fulbari −5,O,80,"B,H",3,M,3–4
Harkapur −5,O,61,"B,C,H",3,M,1
Jantarkhani −1,O,113,,0,L,4
Jantarkhani −9,O,62,,0,L,4
Kalikadevi −2,O,37,"B,H",2,M,3
Kaptigaun −2,O,76,H,1,L,3
Kaptigaun −8,O,46,H,1,L,3
KhijiChandeshwori −6,O,44,"A,B,H,I",6,M,3–4
KhijiChandeshwori −7,O,42,"A,B,H,I",5,M,3–4
Khijifalate −7,O,88,"A,H",2,L,3
Pokali −4,O,95,I,2,M,4
Ragani −2,O,138,"A,H",2,L,4–5
Raniban −3,O,48,"E,H",2,L,3–4
Ratmata −9,O,72,,0,L,2
Singhadevi −9,O,80,"B,I",7,M,3–4
Thulachap −9,O,42,,0,L,2
