"
","Average loss
S&P 500","Average loss
DJIA","Average loss
Nikkei 225","Average loss
FTSE 100","
","DQ test (VaR)                           p                          values
S&P 500","DQ test (VaR)                           p                          values
DJIA","DQ test (VaR)                           p                          values
Nikkei 225","DQ test (VaR)                           p                          values
FTSE 100","
","DES test (ES)                           p                          values
S&P 500","DES test (ES)                           p                          values
DJIA","DES test (ES)                           p                          values
Nikkei 225","DES test (ES)                           p                          values
FTSE 100"
RW-125,1.198,1.120,1.522,1.063,,0.147,0.014,0.067,0.013,,0.113,0.025,0.069,0.036
RW-250,1.238,1.167,1.550,1.128,,0.025,0.059,0.024,0.030,,0.145,0.212,0.054,0.110
RW-500,1.347,1.281,1.623,1.235,,0.001,0.005,0.006,0.000,,0.018,0.018,0.025,0.020
GARCH-G,1.080,0.982,1.341,0.989,,0.026,0.028,0.305,0.000,,0.003,0.005,0.086,0.000
GARCH-Skt,1.034,0.942,1.320,0.950,,0.179,0.215,0.794,0.095,,0.128,0.234,0.551,0.088
HAR-Skt-RV5,1.044,0.925,2.053,0.959,,0.000,0.000,0.000,0.004,,0.000,0.000,0.000,0.002
HEAVY-N-RV5,0.964,0.898,1.327,0.946,,0.018,0.016,0.016,0.021,,0.002,0.003,0.003,0.006
HEAVY-Skt-RV5,0.926,0.863,1.291,0.918,,0.253,0.274,0.235,0.095,,0.127,0.158,0.164,0.091
AL-CAViaR-Sym,1.064,0.957,1.311,0.945,,0.075,0.172,0.530,0.067,,0.035,0.235,0.434,0.072
GAS-2F,1.057,1.001,1.414,0.979,,0.383,0.004,0.103,0.004,,0.178,0.032,0.017,0.014
GAS-1F,1.041,0.971,1.356,0.970,,0.765,0.316,0.073,0.873,,0.654,0.284,0.083,0.899
GARCH-FZ,1.033,0.929,1.308,0.956,,0.091,0.201,0.468,0.084,,0.067,0.264,0.387,0.070
Hybrid,1.020,0.943,1.300,0.954,,0.651,0.305,0.348,0.166,,0.478,0.533,0.358,0.138
GAS-2F-RV5,0.947,0.851,1.331,0.909,,0.378,0.356,0.001,0.886,,0.740,0.360,0.000,0.977
GAS-1F-RV5,0.936,0.844,1.319,0.913,,0.517,0.519,0.207,0.152,,0.434,0.543,0.139,0.194
GARCH-FZ-RV5,0.924,0.855,1.297,0.919,,0.785,0.642,0.185,0.193,,0.605,0.407,0.123,0.185
Hybrid-RV5,0.950,0.871,1.315,0.912,,0.419,0.338,0.185,0.862,,0.367,0.343,0.147,0.896
GAS-2F-RV10,0.934,0.846,1.338,0.908,,0.528,0.772,0.000,0.792,,0.800,0.722,0.000,0.789
GAS-1F-RV10,0.934,0.869,1.305,0.914,,0.174,0.491,0.154,0.733,,0.237,0.489,0.101,0.621
GARCH-FZ-RV10,0.931,0.856,1.311,0.915,,0.795,0.695,0.103,0.130,,0.631,0.465,0.075,0.120
Hybrid-RV10,0.946,0.883,1.306,0.913,,0.339,0.714,0.137,0.775,,0.416,0.704,0.112,0.756
GAS-2F-RN5,0.942,0.845,1.311,0.910,,0.085,0.362,0.411,0.751,,0.206,0.335,0.171,0.787
GAS-1F-RN5,0.939,0.843,1.320,0.914,,0.419,0.536,0.588,0.717,,0.449,0.559,0.395,0.650
GARCH-FZ-RN5,0.925,0.844,1.330,0.917,,0.816,0.876,0.738,0.224,,0.696,0.659,0.516,0.220
Hybrid-RN5,0.942,0.870,1.305,0.912,,0.229,0.679,0.571,0.814,,0.306,0.654,0.406,0.804
GAS-2F-RN10,0.937,0.831,1.305,0.907,,0.029,0.804,0.429,0.855,,0.116,0.839,0.210,0.824
GAS-1F-RN10,0.929,0.845,1.318,0.911,,0.391,0.493,0.730,0.233,,0.402,0.508,0.506,0.245
GARCH-FZ-RN10,0.930,0.840,1.330,0.913,,0.810,0.860,0.793,0.120,,0.737,0.721,0.542,0.118
Hybrid-RN10,0.938,0.881,1.305,0.914,,0.286,0.401,0.644,0.545,,0.381,0.457,0.452,0.438
