Item,M,SD,Difficulty,Item-total correlation,ω if removed,Factor loadings(EFA)
1. When I decrease the amount of time spent using my cell phone I feel less satisfied.,1.6,0.8,0.14,0.56,0.900,0.57
2. I need more time using my cell phone to feel satisfied than I used to need.,1.5,0.7,0.12,0.58,0.900,0.61
"3. When I stop using my cell phone, I get moody and irritable.",1.3,0.6,0.26,0.55,0.900,0.59
"4. It would be very difficult, emotionally, to give up my cell phone.",2.7,1.4,0.54,0.58,0.901,0.56
5. The amount of time I spend using my cell phone keeps me from doing other important work.,2.4,1.2,0.48,0.75,0.896,0.75
6. I have thought in the past that it is not normal to spend as much time using a cell phone as I do.,2.1,1.3,0.42,0.69,0.898,0.67
7. I think I might be spending too much time using my cell phone.,2.6,1.5,0.52,0.75,0.896,0.73
8. People tell me I spend too much time using my cell phone.,1.5,0.9,0.12,0.59,0.900,0.58
"9. When I am not using my cell phone, I am thinking about using it or planning the next time I can use it.",1.6,0.9,0.32,0.64,0.898,0.65
10. I feel anxious if I have not received a call or message in some time.,1.6,1.0,0.16,0.52,0.902,0.53
11. I have ignored the people I’m with in order to use my cell phone.,1.8,1.0,0.37,0.58,. 900,0.58
12. I have used my cell phone when I knew I should be doing work/schoolwork.,3.1,1.4,0.53,0.75,0.897,0.73
13. I have used my cell phone when I knew I should be sleeping.,2.9,1.5,0.57,0.69,0.899,0.67
"14. When I stop using my cell phone because it is interfering with my life, I usually return to it.",2.1,1.2,0.43,0.75,0.896,0.76
15. I have gotten into trouble at work or school because of my cell phone use.,1.2,0.6,0.24,0.48,0.902,0.50
"16. At times, I find myself using my cell phone instead of spending time with people who are important to me and want to spend time with me.",1.6,1.0,0.14,0.56,0.901,0.54
17. I have used my cell phone when I knew it was dangerous to do so.,2.0,1.3,0.25,0.50,0.903,0.44
18. I have almost caused an accident because of my cell phone use.,1.3,0.8,0.26,0.35,0.906,0.35
19. My cell phone use has caused me problems in a relationship.,1.3,0.7,0.07,0.41,0.904,0.42
20. I have continued to use my cell phone even when someone asked me to stop.,1.3,0.8,0.26,0.48,0.902,0.49
