"
Sex","
Male vs. female","FP symptoms
1.25 (1.10, 1.43)***","FP diagnosed rhinitis
1.74 (1.40, 2.16)***","Other diagnosed rhinitis
1.43 (1.31, 1.56)***"
Age (years),Continuous (3–6),"1.12 (1.04, 1.21)**","1.21 (1.07, 1.36)**","1.21 (1.15, 1.27)***"
Birth season,Spring (Reference),1.00,1.00,1.00
,Summer vs. spring,"0.91 (0.75, 1.09)","1.01 (0.75, 1.37)","1.05 (0.93, 1.19)"
,Autumn vs. spring,"0.92 (0.77, 1.11)","1.03 (0.77, 1.37)","0.97 (0.86, 1.10)"
,Winter vs. spring,"0.85 (0.71, 1.03)","0.90 (0.66, 1.22)","1.06 (0.94, 1.20)"
Birth weight (kg),<2.5 vs. ≥ 2.5,"1.18 (0.81, 1.73)","0.81 (0.39, 1.65)","0.70 (0.51, 0.96)*"
Breast-feeding,Yes vs. no,"0.74 (0.61, 0.90)**","0.61 (0.46, 0.81)***","0.98 (0.85, 1.12)"
Parental atopy,Yes vs. no,"2.98 (2.58, 3.44)***","6.53 (5.28, 8.09)***","4.56 (4.16, 5.00)***"
Size of the home (m                         2                        ),<60,1.00,1.00,1.00
,60–100,"1.09 (0.92, 1.29)","1.09 (0.83, 1.43)","1.14 (1.02, 1.27)*"
,>100,"1.11 (0.93, 1.32)","1.26 (0.96, 1.67)","1.41 (1.25, 1.58)***"
Number of persons living,<3,"0.98 (0.75, 1.28)","1.04 (0.68, 1.58)","1.04 (0.88, 1.24)"
In the current home (n),3–4,1.00,1.00,1.00
,>4,"1.02 (0.88, 1.18)","0.91 (0.72, 1.16)","0.93 (0.84, 1.02)"
Lifetime ETS at home,Yes vs. no,"1.37 (1.19, 1.57)***","1.23 (0.99, 1.53)","1.10 (1.01, 1.20)*"
Maternal occupation,Not occupationally active,1.00,1.00,1.00
,Farmer,"1.20 (0.67, 2.13)",—,"0.31 (0.15, 0.62)***"
,Industrial worker,"0.74 (0.48, 1.13)","0.69 (0.33, 1.44)","0.80 (0.61, 1.04)"
,White-collar worker,"0.95 (0.83, 1.09)","0.99 (0.80, 1.22)","0.87 (0.79, 0.94)***"
Living area,Urban,1.00,1.00,1.00
,Suburban,"0.85 (0.71, 1.01)","0.81 (0.61, 1.09)","0.83 (0.74, 0.93)***"
,Rural,"1.00 (0.69, 1.45)","0.57 (0.25, 1.31)","0.36 (0.25, 0.53)***"
GDP per capita,Continuous,"1.01 (0.97, 1.06)","1.04 (0.99, 1.10)","1.01 (0.98, 1.04)"
