,Baseline                        (n = 955),6 months                        (n = 633),12 months                        (n = 603)
Mean satisfaction with current diabetes care (SD),8.20 (1.6),7.89 (1.8),7.95 (1.8)
Missing,0 (0),10 (1.6),2 (0.0)
Use of insulin,283 (29.6),218 (34.4),204 (33.8)
Use of non-insulin diabetes medication,929 (97.3),603 (95.3),574 (95.2)
Metformin,727 (76.1),458 (72.4),432 (71.6)
DPP-4 inhibitors,345 (36.1),192 (30.3),194 (32.2)
SGLT2 inhibitors,130 (13.6),85 (8.9),90 (14.9)
Combinations of oral BG lowering drugs,114 (11.9),72 (11.4),81 (8.5)
GLP-1 analogues,88 (9.2),42 (6.6),53 (8.8)
Sulfonylureas,33 (3.5),17 (1.8),19 (3.2)
Glitazones,27 (2.8),10 (1.6),11 (1.8)
Glinides,8 (0.8),2 (0.2),4 (0.7)
Financial difficulties with diabetes medication,,,
Not at all,797 (83.5),427 (67.5),399 (66.2)
At least some difficulties,158 (16.5),190 (30.0),199 (33.0)
Missing,0 (0),16 (2.5),5 (0.8)
