"Normal range
Age
Body weight","Normal range
56
54.5","Normal range

","Normal range

kg"
White blood cells,7700,3200–7900,/μL
Hemoglobin,9.8,11.3–15.0,g/dL
Hematocrit,30.8,34.0–46.3,%
Platelets,223,155–350,*10                         3                        /μL
Total protein,6.3,6.9–8.4,g/dL
Albumin,3.2,3.9–5.2,g/dL
AST,21,13–33,IU/L
ALT,22,7–23,IU/L
LDH,119,119–229,IU/L
ALP,258,117–350,IU/L
γ-GTP,28,9–109,IU/L
Urea nitrogen,21,8–21,mg/dL
Creatinine,0.33,0.46–0.78,mg/dl
eGFR,151.9,>90,ml/min/1.73m                         2
Uremic acid,5.7,2.5–7.0,mg/dL
Triglyceride,35,30–150,mg/dL
Total cholesterol,96,122–240,mg/dL
HDL cholesterol,46,35–70,mg/dL
LDL cholesterol,34,<140,mg/dL
Na,143,139–146,mmol/L
K,3.7,3.7–4.8,mmol/L
Cl,109,101–109,mmol/L
Corrected Ca,10.2,8.7–10.1,mg/dL
P,4.6,2.8–4.6,mg/dL
CRP,0.2,<0.14,mg/dL
Ferritin,101,5–80,μg/L
RF,1,<10,U/mL
Anti-CCP antibody,<0.5,<4.5,U/mL
ANA,<40,<40,
C3,106,>8.6,mg/dL
C4,18,>17,mg/dL
CH50,44,>30,U/mL
IgG,1705,870–1700,mg/dL
IgA,265.9,110–410,mg/dL
IgM,61.2,33–190,mg/dL
Bone specific ALP,90.8,3.8–22.6,μg/L
TRACP-5b,965,250–760,mU/dL
"1,25dihydroxyvitaminD",54,20.0–60.0,ng/L
Corrected Ca,9,8.7–10.1,mg/dL
iPTH,177,15–65,pg/mL
Osteocalcin,26.7,14.2–54.8,ng/mL
Deoxypyridinoline(Urine),12.2,2.8–7.6,nmol/mmol･Cr
