parameter,BB,ORFL,BRFL,GRFL
log                              (                              C                              ),12.74,11.93,12.71,12.02
m,3.30,3.03,3.30,3.04
γ,0.90,0.91,0.92,0.92
ρ                                    ∗,0.93,1.13,1.11,1.14
σ                                    N,0.30,0.17,0.23,0.20
S                                    t,112,,,
m                                    t,4.38,,,
"S                                    ∞                                  ,                                  μ",,13,43,39
"S                                    ∞                                  ,                                  σ",,2.9,2.0,2.1
ρ                                        S                                        ∞,,,,0.6
