ID,C,E,V,F,S,X,Y
71,[      ],−893.5888,14.4958,0.0000,1,0.533,−0.9929
75,[0 14],−270.1198,14.3751,0.0000,1,1.000,0.0000
89,[14      ],−1369.2158,18.0875,0.0000,1,0.176,−0.6086
97,[15 0],−1603.9973,22.8193,0.0000,1,0.000,0.000
113,[13      ],−1183.5582,16.1519,0.0000,1,0.316,−0.7854
121,[      ],−804.6286,14.1712,0.0000,1,0.600,−0.9578
123,[      ],−715.6656,13.0397,0.0000,1,0.667,−0.9200
125,[      ],−626.5662,18.2131,0.0000,1,0.733,−0.7457
132,[      ],−998.6407,14.8818,0.0000,1,0.455,−0.9513
66,[      13],−692.2129,10.5534,0.0055,1,0.684,−0.8686
