Fatty acid,CTRL1,ARA1,CTRL2,ARA2,Duration,AA,Duration x AA
16:0,3.4 ± 0.2,3.4 ± 0.4,3.5 ± 0.5,3.6 ± 0.5,NS,NS,NS
Total SFA,5.8 ± 0.6,5.5 ± 0.4,5.9 ± 0.9,5.9 ± 0.5,NS,NS,NS
14:1 n-5,1.4 ± 0.2,1.3 ± 0.1,1.5 ± 0.1,1.3 ± 0.1,NS,0.05,NS
16:1 n-9,0.9 ± 0.1,1.0 ± 0.1,0.9 ± 0.0,0.9 ± 0.1,0.012,NS,0.005
16:1n-7,3.0 ± 0.6,3.9 ± 0.7,3.3 ± 0.2,3.0 ± 0.5,0.019,NS,0.002
18:1n-9,13.7 ± 0.6,13.9 ± 0.7,14.5 ± 0.5,13.9 ± 0.4,NS,NS,NS
18:1n-7,1.4 ± 0.3,1.6 ± 0.3,1.3 ± 0.1,1.3 ± 0.2,NS,NS,NS
Total MUFA,22.7 ± 1.4,24.1 ± 1.2,24.2 ± 1.3,22.6 ± 0.8,NS,NS,NS
18:2n-6,14.5 ± 0.6,14.2 ± 0.8,13.9 ± 0.4,14.6 ± 1.1,NS,NS,NS
18:3n-6,16.7 ± 1.8,14.5 ± 0.8,15.4 ± 1.3,15.4 ± 1.0,NS,NS,0.038
20:3n-6,1.3 ± 0.1,1.1 ± 0.1,1.1 ± 0.1,1.2 ± 0.1,NS,NS,0.005
20:4n-6,0.5 ± 0.1,1.1 ± 0.1,0.4 ± 0.1,1.3 ± 0.1,NS,< 0.001,- *
Total n-6,33.7 ± 2.0,31.6 ± 1.2,31.4 ± 1.9,33.2 ± 2.0,NS,NS,0.016
20:5n-3,1.9 ± 0.2,1.8 ± 0.3,1.6 ± 0.3,2.0 ± 0.2,NS,NS,NS
22:6n-3,10.0 ± 1.2,10.6 ± 0.7,8.6 ± 1.1,10.4 ± 0.9,NS,0.031,NS
Total n-3,13.6 ± 1.4,14.1 ± 1.1,11.9 ± 1.6,14.2 ± 1.2,NS,0.044,NS
Total n-3/Total n-6,0.4 ± 0.1,0.4 ± 0.0,0.4 ± 0.0,0.4 ± 0.0,NS,0.029,NS
Total PUFA,47.5 ± 2.0,51.6 ± 7.8,43.9 ± 2.6,47.7 ± 2.0,NS,NS,NS
EPA + DHA,11.9 ± 1.3,12.4 ± 0.9,10.2 ± 1.5,12.4 ± 1.1,NS,0.038,NS
HUFA,16.0 ± 1.4,17.0 ± 1.2,14.3 ± 1.1,17.5 ± 1.2,NS,0.002,NS
EPA/AA,3.9 ± 0.7,1.6 ± 0.2,4.0 ± 0.2,1.6 ± 0.2,NS,0.001,- *
DHA/EPA,5.3 ± 0.4,6.0 ± 0.5,5.4 ± 0.5,5.2 ± 0.2,NS,NS,0.036
