"Exp. Points
Exp. Points
Exp. Points","Standard Mass
Standard Mass
g","Ascending load
Mass indicated by the scale
g","Ascending load
Environmental Temperature
°C","Ascending load
Atmospheric Pressure
mbar/abs","Descending load
Mass indicated by the scale
g","Descending load
Environmental Temperature
°C","Descending load
Atmospheric Pressure
mbar/abs"
1,0.0,0.0022,28.0,1002,0.0024,29.8,1000
2,0.5,0.5022,28.1,1002,0.5024,29.7,1000
3,2.5,2.5022,28.2,1002,2.5026,29.7,1000
4,4.5,4.5022,28.2,1002,4.5025,29.7,1000
5,6.5,6.5024,28.4,1002,6.5027,29.7,1000
6,8.5,8.5024,28.4,1002,8.5026,29.7,1000
7,10.5,10.5023,28.4,1002,10.5029,29.7,1000
8,12.5,12.5023,28.4,1002,12.5028,29.7,1000
9,14.5,14.5024,28.4,1002,14.5029,29.7,1000
10,16.5,16.5023,28.4,1002,16.5029,29.7,1000
11,18.5,18.5025,28.4,1002,18.5029,29.7,1000
12,20.5,20.5025,28.5,1002,20.5028,29.7,1000
13,22.5,22.5027,28.5,1002,22.5030,29.7,1000
14,24.5,24.5026,28.5,1002,24.5029,29.7,1000
15,26.5,26.5027,28.5,1002,26.5029,29.7,1000
16,28.5,28.5028,28.5,1002,28.5033,29.7,1000
17,30.5,30.5028,28.5,1002,30.5031,29.7,1000
18,32.5,32.5028,28.5,1002,32.5032,29.7,1000
19,34.5,34.5028,28.6,1002,34.5030,29.7,1000
20,36.5,36.5028,28.6,1002,36.5030,29.7,1000
21,38.5,38.5028,28.6,1002,38.5034,29.7,1000
22,40.5,40.5027,28.7,1002,40.5031,29.7,1000
23,42.5,42.5028,28.7,1002,42.5031,29.7,1000
24,44.5,44.5030,28.7,1002,44.5032,29.7,1000
25,46.5,46.5028,28.7,1002,46.5032,29.7,1000
26,48.5,48.5030,28.7,1002,48.5032,29.7,1000
27,50.5,50.5031,28.8,1002,50.5031,29.7,1000
28,52.5,52.5033,28.8,1001,52.5031,29.7,1000
29,54.5,54.5033,28.8,1001,54.5031,29.7,1000
30,56.5,56.5032,28.8,1001,56.5031,29.6,1000
31,58.5,58.5034,28.8,1001,58.5029,29.6,1000
32,60.5,60.5030,28.8,1001,60.5032,29.6,1000
33,62.5,62.5032,28.8,1001,62.5031,29.6,1000
34,64.5,64.5032,28.8,1001,64.5033,29.6,1000
35,66.5,66.5031,28.8,1001,66.5033,29.6,1000
36,68.5,68.5033,28.8,1001,68.5032,29.6,1000
37,70.5,70.5029,28.9,1001,70.5035,29.6,1000
38,72.5,72.5031,28.9,1001,72.5035,29.6,1000
39,74.5,74.5030,28.9,1001,74.5035,29.6,1000
40,76.5,76.5031,28.9,1001,76.5036,29.6,1000
41,78.5,78.5032,28.9,1001,78.5035,29.6,1000
42,80.5,80.5027,28.9,1001,80.5035,29.6,1000
43,82.5,82.5032,28.9,1001,82.5035,29.6,1000
44,84.5,84.5031,28.9,1001,84.5034,29.6,1000
45,86.5,86.5033,28.9,1001,86.5036,29.6,1000
46,88.5,88.5031,28.9,1001,88.5036,29.6,1000
47,90.5,90.5033,29.0,1001,90.5035,29.6,1000
