"Category
Category","Health Problem
Health Problem","N of publications
N of publications","Pooled Prevalence (95 % CI)
Pooled Prevalence (95 % CI)","Heterogeneity
Q","Heterogeneity
P","Heterogeneity
I             2"
MH,Depression,"24             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","19.2 % (13.2, 26.9)",2268.54,< .001,98.98
MH,Alcohol Abuse,"19             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","36.5 % (27.3,46.8)",671.80,< .001,97.32
MH,Dementia,"17             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","6.9 % (3.3, 14)",961.77,< .001,98.33
MH,Schizophrenia,"15             (            ;      ,      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;             )","5.3 % (2.9,9.6)",1127.58,< .001,98.75
MH,Substance Abuse,"14             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","26.4 % (18.4, 36.5)",416.95,< .001,96.88
MH,Psychotic Disorders,12             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;             ),"7.2 % (3, 15.9)",873.22,< .001,98.74
MH,Anxiety,11             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;             ),"10.2 % (2.7, 14.6)",157.47,< .001,93.65
MH,Personality Disorders,10             (            ;      ;      ;      ;      ;      ;      ;      ;      ;             ),"17.8 % (11.3, 26.7)",241.58,< .001,96.27
PH,Hypertension,"28             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,      ;      ,      ;             )","42 % (37, 48)",3153.35,< .001,99
PH,Cardiovascular Diseases,"26             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,      ;      ,      ;             )","18.5 % (15, 25)",979.48,< .001,97.44
PH,Diabetes,"26             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,      ;      ,      ;             )","16 % (14,17.8)",371.99,< .001,93.27
PH,"Arthritis, Rheumatism or Osteoporosis (ARO)","16             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,      ;      ,             )","35 % (24, 48)",2015.72,< .001,99.25
PH,Cancer,"14             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;      ,      ;      ,             )","7% (5, 8)",43.15,< .001,69.87
PH,Hepatitis C,"12             (            ;      ,      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","22 % (11, 39)","451,697",< .001,99.75
PH,Stroke,"12             (            ;      ;      ;      ;      ;      ;      ;      ;      ,      ;      ,             )","8% (6, 11)",67.72,< .001,83.75
PH,HIV,"12             (            ;      ,      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","3% (2, 5)",293.30,< .001,96.25
PH,Respiratory Diseases,11             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ;             ),"11 % (8, 15)",337.06,< .001,97.03
PH,Asthma,"11             (            ;      ;      ;      ;      ;      ;      ;      ;      ;      ,             )","9% (6, 14)",537.78,< .001,98.14
