"Congener
Congener","DR                         human                        CALUX
REP                         EC50                        (M)","WHO TEF (2005, 2013)                         1
WHO TEF (2005, 2013)                         1","Ratio
DR                         human                        REP/WHO-TEF"
TCDD,1.0,1,1
"1,2,3,7,8-PeCDD",1.4,1,1
"1,2,3,4,7,8-HxCDD",2.0,0.1,20
"1,2,3,4,6,7,8-HpCDD",0.40,0.01,40
OCDD,nd,0.0003,nc
"2,3,7,8-TCDF",0.17,0.1,2
"2,3,4,7,8-PeCDF",1.1,0.3,4
"1,2,3,7,8-PeCDF",0.87,0.03,29
"1,2,3,4,7,8-HxCDF",1.3,0.1,13
"1,2,3,4,6,7,8-HpCDF",0.028,0.01,3
OCDF,nd,0.0003,nc
"2,3,7,8-TBDD",1.1,1,1
"1,2,3,7,8-PeBDD",2.2,1,2
"1,2,3,4,6,7,8-HpBDD",0.024,0.01,2
OBDD,nd,0.0003,nc
"2,3,7,8-TBDF",0.60,0.1,6
"2,3,4,7,8-PeBDF",1.5,0.3,5
"1,2,3,7,8-PeBDF",0.23,0.03,8
"1,2,3,4,7,8-HxBDF",0.33,0.1,3
"1,2,3,4,6,7,8-HpBDF",0.021,0.01,2
OBDF,nc,0.0003,nc
