Variables,mean (SD)
Age (years),68.97 (±7.17)
Education (years),6.59 (±4.75)
Insulin (microUI/mL),12.3 (±15.7)
Glucose (mg/dL),148.1 (±59.7)
HbA1c (%),7.54 (±1.8)
,n (%)
Age,
≤ 63,51 (27.3)
64−67,44 (23.5)
68−72,37 (19.8)
≥ 73,55 (29.4)
"Gender, n (%)",
Male,59 (31.6)
Female,128 (68.4)
Education,
0,22 (30.5)
1−4,61 (25.1)
5−8,47 (32.6)
≥ 9,57 (11.8)
"Marital status, n (%)                         *",
Single,95 (51.1)
With partner,91 (48.9)
Race/Skin color,
White,62 (33.2)
Non-white,125 (66.8)
Per capita                        income (US$)                         **,
> 291,43 (23.0)
202−291,44 (23.5)
134−201,42 (22.5)
< 134,43 (23.0)
Cognitive impairment,
Present,35 (18.7)
Absent,152 (81.3)
