Mann Whitney                         U                        test,Complex foundations,Non-complex foundations,p-value
Species richness,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,3.36 ± 0.45,3.9 ± 0.46,0.429
2008,5.6 ± 0.45,4.56 ± 0.53,0.2574
2016,8.75 ± 0.7,8.67 ± 0.49,1
2017,7.33 ± 0.41,8.33 ± 0.88,0.396
2018,6 ± 0.44,5.17 ± 0.7,0.3751
2019,9.89 ± 0.45,9.33 ± 0.99,0.2249
Total number of individuals,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,7.82 ± 0.89,6 ± 0.7,0.1854
2008,18.6 ± 1.92,11.44 ± 1.04,0.008
2016,41.5 ± 4.15,43.83 ± 6.39,0.7461
2017,22.67 ± 2.9,23.67 ± 4.45,0.9529
2018,27.71 ± 7.94,36 ± 15.16,0.943
2019,51.22 ± 10.92,32.67 ± 6.62,0.1569
Shannon-Wiener biodiversity,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,0.9 ± 0.12,1.2 ± 0.13,0.113
2008,1.26 ± 0.04,1.23 ± 0.14,0.549
2016,1.77 ± 0.09,1.63 ± 0.03,0.08125
2017,1.64 ± 0.05,1.73 ± 0.1,0.181
2018,1.44 ± 0.1,1.19 ± 0.17,0.2343
2019,1.86 ± 0.09,1.84 ± 0.1,1
Evenness,Mean                        ±                         SE,Mean                        ±                         SE,p-value
2007,0.26 ± 0.03,0.31 ± 0.01,0.07814
2008,0.23 ± 0.01,0.27 ± 0.01,0.04347
2016,0.21 ± 0.01,0.19 ± 0.01,0.4908
2017,0.22 ± 0.01,0.21 ± 0.02,0.607
2018,0.24 ± 0.01,0.24 ± 0.03,0.8357
2019,0.19 ± 0.01,0.2 ± 0.01,0.6797
