,N,mean,SD,min,max
ROA,9426,1.91,4.11,−14.35,16.36
avg return,"29,966",−0.09,0.74,−11.28,16.98
board network,1290,4.4,5.6,0,38
family network,1290,1.38,3.15,0,26
state network,1290,0.87,2.01,0,18
political network,1290,0.28,1.01,0,14
family,1097,0.24,0.43,0,1
state,1290,0.17,0.37,0,1
political,1290,0.04,0.21,0,1
boardsize,1290,11.3,4.9,0,34
listing,1273,1992,8.8,1973,2007
concentration,1145,34.2,26,0,100
institutional,1145,1.2,7.5,0,100
blockholder,1150,0.59,0.49,0,1
tangible,8166,0.33,0.24,0.00,0.90
cash,7369,0.07,0.08,0.00,0.47
liabilities,9692,5.43,18.24,0.00,145.01
volatility,9893,0.03,0.03,0.00,0.16
leverage,8154,0.52,0.27,0.03,1.46
ROE,8173,2.69,6.77,−32.81,28.97
sales,7987,11.42,2.28,0.00,18.05
size,8272,13.55,2.08,8.98,18.77
mature debt,7980,0.10,0.29,0.00,1.19
account payable,1246,0.09,0.08,0.00,0.50
skill,3541,65.58,24.56,0,100
cv,3549,10.38,3.73,2,25
experience,3513,7.48,4.48,0.25,28.84
affiliations,3540,0.92,0.83,0,5.36
